nct_id,adverse_event_term,organ_system,serious,frequency_threshold,assessed_participants,affected_participants,events,event_type,antibody_name,antibody_category,indication,phase,enrollment
NCT63286949,Infusion related reaction,General disorders and administration site conditions,No,10%,869,27,50,Treatment Emergent,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Infusion related reaction,General disorders and administration site conditions,No,5%,869,3,4,Treatment Emergent,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Infusion related reaction,General disorders and administration site conditions,No,5%,869,15,23,All Causality,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Infusion related reaction,General disorders and administration site conditions,No,15%,869,45,90,All Causality,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Infusion related reaction,General disorders and administration site conditions,No,10%,869,4,4,All Causality,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Infusion related reaction,General disorders and administration site conditions,No,10%,869,17,20,All Causality,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Infection,Infections and infestations,Yes,15%,869,44,81,All Causality,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT63286949,Cytopenia,Blood and lymphatic system disorders,No,10%,869,29,39,Treatment Emergent,Ofatumumab,Anti-CD20,Multiple Sclerosis,Phase 4,869
NCT86109948,Infusion related reaction,General disorders and administration site conditions,No,10%,985,32,33,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Cytopenia,Blood and lymphatic system disorders,No,10%,985,41,77,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Infection,Infections and infestations,Yes,5%,985,2,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Infusion related reaction,General disorders and administration site conditions,No,5%,985,4,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Infusion related reaction,General disorders and administration site conditions,No,10%,985,41,73,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Cytopenia,Blood and lymphatic system disorders,No,5%,985,34,47,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Cytopenia,Blood and lymphatic system disorders,No,10%,985,26,40,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Infusion related reaction,General disorders and administration site conditions,No,10%,985,22,40,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Infection,Infections and infestations,Yes,5%,985,33,58,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86109948,Infection,Infections and infestations,Yes,10%,985,25,34,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 1,985
NCT86915742,Cytopenia,Blood and lymphatic system disorders,No,10%,41,3,5,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Infection,Infections and infestations,Yes,5%,41,1,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Infection,Infections and infestations,Yes,15%,41,4,7,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Cytopenia,Blood and lymphatic system disorders,No,15%,41,2,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Cytopenia,Blood and lymphatic system disorders,No,5%,41,2,3,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Infusion related reaction,General disorders and administration site conditions,No,15%,41,3,6,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Cytopenia,Blood and lymphatic system disorders,No,15%,41,3,4,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Cytopenia,Blood and lymphatic system disorders,No,10%,41,1,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Infusion related reaction,General disorders and administration site conditions,No,5%,41,4,6,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Cytopenia,Blood and lymphatic system disorders,No,5%,41,3,3,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT86915742,Infection,Infections and infestations,Yes,5%,41,3,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,41
NCT41400974,Infection,Infections and infestations,Yes,15%,158,5,7,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,158
NCT41400974,Infusion related reaction,General disorders and administration site conditions,No,5%,158,1,2,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,158
NCT41400974,Cytopenia,Blood and lymphatic system disorders,No,15%,158,6,11,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,158
NCT41400974,Infusion related reaction,General disorders and administration site conditions,No,15%,158,4,4,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 2,158
NCT57661992,Infusion related reaction,General disorders and administration site conditions,No,5%,112,11,18,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Cytopenia,Blood and lymphatic system disorders,No,10%,112,2,3,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Cytopenia,Blood and lymphatic system disorders,No,15%,112,3,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Infection,Infections and infestations,Yes,15%,112,9,10,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Cytopenia,Blood and lymphatic system disorders,No,5%,112,7,8,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Infection,Infections and infestations,Yes,15%,112,4,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Infection,Infections and infestations,Yes,10%,112,4,8,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Infection,Infections and infestations,Yes,15%,112,9,14,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Infection,Infections and infestations,Yes,5%,112,9,11,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Infection,Infections and infestations,Yes,10%,112,7,9,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Cytopenia,Blood and lymphatic system disorders,No,15%,112,10,13,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT57661992,Cytopenia,Blood and lymphatic system disorders,No,5%,112,2,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 3,112
NCT39141575,Cytopenia,Blood and lymphatic system disorders,No,15%,118,3,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,10%,118,7,9,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Cytopenia,Blood and lymphatic system disorders,No,10%,118,4,8,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infusion related reaction,General disorders and administration site conditions,No,5%,118,9,17,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,15%,118,10,12,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,10%,118,5,9,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infusion related reaction,General disorders and administration site conditions,No,10%,118,3,5,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,5%,118,2,4,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,10%,118,7,8,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,5%,118,10,17,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infusion related reaction,General disorders and administration site conditions,No,10%,118,3,3,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infection,Infections and infestations,Yes,5%,118,2,2,All Causality,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT39141575,Infusion related reaction,General disorders and administration site conditions,No,15%,118,8,8,Treatment Emergent,Ocrelizumab,Anti-CD20,Lymphoma,Phase 4,118
NCT73360696,Infection,Infections and infestations,Yes,10%,617,49,84,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,617
NCT73360696,Infusion related reaction,General disorders and administration site conditions,No,15%,617,41,67,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,617
NCT73360696,Infusion related reaction,General disorders and administration site conditions,No,5%,617,40,71,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,617
NCT73360696,Infusion related reaction,General disorders and administration site conditions,No,5%,617,43,54,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,617
NCT72416710,Cytopenia,Blood and lymphatic system disorders,No,15%,559,2,4,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,559
NCT72416710,Cytopenia,Blood and lymphatic system disorders,No,5%,559,29,50,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,559
NCT72416710,Infusion related reaction,General disorders and administration site conditions,No,10%,559,6,7,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,559
NCT42921792,Infection,Infections and infestations,Yes,10%,758,20,27,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Infection,Infections and infestations,Yes,15%,758,1,2,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Cytopenia,Blood and lymphatic system disorders,No,5%,758,15,26,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Cytopenia,Blood and lymphatic system disorders,No,15%,758,30,36,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Infusion related reaction,General disorders and administration site conditions,No,15%,758,50,93,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Cytopenia,Blood and lymphatic system disorders,No,15%,758,9,15,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Infection,Infections and infestations,Yes,10%,758,11,11,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Infusion related reaction,General disorders and administration site conditions,No,15%,758,40,79,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Infusion related reaction,General disorders and administration site conditions,No,5%,758,50,67,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT42921792,Infection,Infections and infestations,Yes,15%,758,30,57,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 1,758
NCT67285403,Cytopenia,Blood and lymphatic system disorders,No,10%,949,30,59,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Infusion related reaction,General disorders and administration site conditions,No,10%,949,32,35,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Infection,Infections and infestations,Yes,5%,949,24,32,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Infusion related reaction,General disorders and administration site conditions,No,10%,949,12,13,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Cytopenia,Blood and lymphatic system disorders,No,10%,949,43,83,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Cytopenia,Blood and lymphatic system disorders,No,10%,949,34,67,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Infection,Infections and infestations,Yes,15%,949,33,48,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Cytopenia,Blood and lymphatic system disorders,No,5%,949,28,42,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Cytopenia,Blood and lymphatic system disorders,No,15%,949,37,47,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Infusion related reaction,General disorders and administration site conditions,No,15%,949,40,40,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT67285403,Cytopenia,Blood and lymphatic system disorders,No,10%,949,22,44,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,949
NCT16510682,Infection,Infections and infestations,Yes,5%,888,43,78,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,888
NCT16510682,Infusion related reaction,General disorders and administration site conditions,No,10%,888,14,15,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,888
NCT16510682,Infusion related reaction,General disorders and administration site conditions,No,5%,888,16,23,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,888
NCT16510682,Infusion related reaction,General disorders and administration site conditions,No,5%,888,41,62,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,888
NCT62742948,Infection,Infections and infestations,Yes,5%,653,1,1,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,653
NCT62742948,Infusion related reaction,General disorders and administration site conditions,No,10%,653,8,15,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,653
NCT62742948,Infusion related reaction,General disorders and administration site conditions,No,5%,653,19,30,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 2,653
NCT99184747,Infusion related reaction,General disorders and administration site conditions,No,15%,573,2,4,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Cytopenia,Blood and lymphatic system disorders,No,5%,573,50,72,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Infusion related reaction,General disorders and administration site conditions,No,5%,573,21,26,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Cytopenia,Blood and lymphatic system disorders,No,15%,573,42,80,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Infection,Infections and infestations,Yes,5%,573,12,17,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Infection,Infections and infestations,Yes,5%,573,35,47,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Infusion related reaction,General disorders and administration site conditions,No,10%,573,38,57,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT99184747,Infusion related reaction,General disorders and administration site conditions,No,10%,573,28,41,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,573
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,5%,53,2,2,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Infection,Infections and infestations,Yes,10%,53,2,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Infusion related reaction,General disorders and administration site conditions,No,5%,53,4,6,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Infusion related reaction,General disorders and administration site conditions,No,10%,53,4,8,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,15%,53,2,3,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,5%,53,2,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,5%,53,2,4,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Infusion related reaction,General disorders and administration site conditions,No,15%,53,4,5,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Infection,Infections and infestations,Yes,10%,53,5,5,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Infusion related reaction,General disorders and administration site conditions,No,10%,53,3,5,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,5%,53,1,1,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,5%,53,1,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT33886240,Cytopenia,Blood and lymphatic system disorders,No,15%,53,5,9,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,53
NCT89092666,Cytopenia,Blood and lymphatic system disorders,No,15%,563,50,96,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,563
NCT89092666,Infusion related reaction,General disorders and administration site conditions,No,10%,563,19,21,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,563
NCT89092666,Infection,Infections and infestations,Yes,5%,563,35,44,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,563
NCT89092666,Infection,Infections and infestations,Yes,10%,563,3,6,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,563
NCT89092666,Cytopenia,Blood and lymphatic system disorders,No,15%,563,47,80,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,563
NCT89092666,Infusion related reaction,General disorders and administration site conditions,No,15%,563,25,47,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 3,563
NCT58611678,Cytopenia,Blood and lymphatic system disorders,No,15%,975,1,2,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Cytopenia,Blood and lymphatic system disorders,No,10%,975,42,71,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Cytopenia,Blood and lymphatic system disorders,No,5%,975,28,37,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infection,Infections and infestations,Yes,5%,975,13,26,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infusion related reaction,General disorders and administration site conditions,No,5%,975,28,45,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infusion related reaction,General disorders and administration site conditions,No,5%,975,9,9,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infection,Infections and infestations,Yes,15%,975,4,6,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infusion related reaction,General disorders and administration site conditions,No,5%,975,42,64,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infusion related reaction,General disorders and administration site conditions,No,15%,975,30,49,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Cytopenia,Blood and lymphatic system disorders,No,5%,975,42,61,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infusion related reaction,General disorders and administration site conditions,No,5%,975,25,32,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infection,Infections and infestations,Yes,10%,975,5,5,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Infection,Infections and infestations,Yes,10%,975,50,59,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Cytopenia,Blood and lymphatic system disorders,No,15%,975,18,33,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT58611678,Cytopenia,Blood and lymphatic system disorders,No,15%,975,10,20,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,975
NCT15614833,Infection,Infections and infestations,Yes,15%,888,4,5,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,888
NCT15614833,Cytopenia,Blood and lymphatic system disorders,No,15%,888,15,15,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,888
NCT15614833,Infection,Infections and infestations,Yes,5%,888,10,16,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,888
NCT15614833,Infection,Infections and infestations,Yes,10%,888,2,4,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,888
NCT15614833,Infection,Infections and infestations,Yes,15%,888,32,57,Treatment Emergent,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,888
NCT15614833,Infusion related reaction,General disorders and administration site conditions,No,10%,888,34,56,All Causality,Ocrelizumab,Anti-CD20,Leukemia,Phase 4,888
NCT74925460,Infusion related reaction,General disorders and administration site conditions,No,5%,584,5,6,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,584
NCT74925460,Infection,Infections and infestations,Yes,15%,584,36,49,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,584
NCT74925460,Cytopenia,Blood and lymphatic system disorders,No,10%,584,43,77,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,584
NCT74925460,Infection,Infections and infestations,Yes,5%,584,50,89,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,584
NCT74925460,Cytopenia,Blood and lymphatic system disorders,No,5%,584,27,51,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,584
NCT89346782,Infusion related reaction,General disorders and administration site conditions,No,15%,368,27,34,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Infection,Infections and infestations,Yes,10%,368,2,3,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Cytopenia,Blood and lymphatic system disorders,No,15%,368,26,26,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Cytopenia,Blood and lymphatic system disorders,No,15%,368,30,36,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Infusion related reaction,General disorders and administration site conditions,No,15%,368,19,29,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Infusion related reaction,General disorders and administration site conditions,No,15%,368,31,50,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Cytopenia,Blood and lymphatic system disorders,No,5%,368,22,30,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Infusion related reaction,General disorders and administration site conditions,No,5%,368,7,11,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT89346782,Infection,Infections and infestations,Yes,15%,368,30,38,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 1,368
NCT56705534,Infection,Infections and infestations,Yes,15%,400,2,2,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,400
NCT56705534,Infection,Infections and infestations,Yes,5%,400,38,51,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,400
NCT56705534,Cytopenia,Blood and lymphatic system disorders,No,10%,400,24,24,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,400
NCT56705534,Infusion related reaction,General disorders and administration site conditions,No,10%,400,25,44,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,400
NCT56705534,Cytopenia,Blood and lymphatic system disorders,No,15%,400,2,4,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,400
NCT68759844,Cytopenia,Blood and lymphatic system disorders,No,5%,757,22,22,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Cytopenia,Blood and lymphatic system disorders,No,10%,757,8,15,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infection,Infections and infestations,Yes,15%,757,9,11,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infection,Infections and infestations,Yes,5%,757,46,82,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Cytopenia,Blood and lymphatic system disorders,No,5%,757,14,21,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infusion related reaction,General disorders and administration site conditions,No,10%,757,14,25,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infusion related reaction,General disorders and administration site conditions,No,10%,757,25,25,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infection,Infections and infestations,Yes,15%,757,49,73,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Cytopenia,Blood and lymphatic system disorders,No,15%,757,22,37,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infusion related reaction,General disorders and administration site conditions,No,5%,757,20,31,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Cytopenia,Blood and lymphatic system disorders,No,10%,757,14,26,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infusion related reaction,General disorders and administration site conditions,No,15%,757,49,72,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infusion related reaction,General disorders and administration site conditions,No,15%,757,26,37,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT68759844,Infusion related reaction,General disorders and administration site conditions,No,15%,757,21,27,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 2,757
NCT79393535,Cytopenia,Blood and lymphatic system disorders,No,10%,900,28,50,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,900
NCT79393535,Infusion related reaction,General disorders and administration site conditions,No,5%,900,17,17,All Causality,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,900
NCT79393535,Infusion related reaction,General disorders and administration site conditions,No,10%,900,30,57,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,900
NCT24029614,Cytopenia,Blood and lymphatic system disorders,No,5%,566,10,17,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,566
NCT24029614,Infusion related reaction,General disorders and administration site conditions,No,10%,566,17,24,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,566
NCT24029614,Cytopenia,Blood and lymphatic system disorders,No,15%,566,38,70,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,566
NCT30495566,Infusion related reaction,General disorders and administration site conditions,No,15%,544,41,62,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,544
NCT30495566,Cytopenia,Blood and lymphatic system disorders,No,15%,544,13,23,Treatment Emergent,Ocrelizumab,Anti-CD20,Multiple Sclerosis,Phase 3,544
