nct_id,antibody_name,antibody_category,indication,phase,enrollment,adverse_event_term,organ_system,serious,severity,assessed_participants,affected_participants,events,fraction_affected_%,is_failed_candidate,failure_reason,dose_mg_m2,duration_days,reversible,manageable,management_strategy,time_to_onset_days,resolution_days
NCT64027776,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 3,203,Hyperthyroidism,Blood disorders,Yes,Mild,203,37,39,18.23,No,,15,240,No,Yes,Dose reduction,25,64
NCT76068108,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 1,95,Hyperthyroidism,Cardiac disorders,No,Severe,95,15,20,15.79,No,,11,63,Yes,Yes,Supportive care,22,41
NCT85710771,Pertuzumab,Anti-HER2,Lung Cancer,Phase 3,222,Colitis,Endocrine disorders,No,Moderate,222,46,48,20.72,Yes,Competition,16,190,Yes,No,Dose reduction,2,16
NCT69016823,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 2,444,Arthralgia,Hepatobiliary disorders,No,Moderate,444,44,46,9.91,No,,8,149,Yes,No,Supportive care,16,11
NCT22973904,Pertuzumab,Anti-HER2,Lung Cancer,Phase 1,148,Nausea,Hepatobiliary disorders,No,Moderate,148,19,23,12.84,Yes,Lack of efficacy,11,232,Yes,No,Treatment interruption,23,54
NCT31888544,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 2,305,Infusion-related reaction,Hepatobiliary disorders,No,Moderate,305,54,55,17.7,No,,1,99,No,Yes,Discontinuation,18,24
NCT22321563,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 4,160,Hypothyroidism,Gastrointestinal disorders,No,Mild,160,12,17,7.5,No,,10,347,Yes,Yes,Dose reduction,21,77
NCT56321476,Pertuzumab,Anti-HER2,Breast Cancer,Phase 3,439,Thrombocytopenia,Cardiac disorders,Yes,Mild,439,80,83,18.22,No,,1,76,No,No,Dose reduction,2,79
NCT91119979,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 1,200,Nausea,Respiratory disorders,No,Mild,200,56,56,28.0,No,,1,296,No,Yes,Treatment interruption,6,40
NCT96351943,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 1,338,Infusion-related reaction,General disorders,Yes,Moderate,338,2,5,0.59,Yes,Competition,5,124,Yes,Yes,Dose reduction,1,40
NCT33403588,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 1,332,Colitis,Skin disorders,No,Moderate,332,19,22,5.72,No,,2,337,Yes,Yes,Treatment interruption,4,56
NCT31833829,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 1,456,Cardiotoxicity,Blood disorders,No,Moderate,456,65,69,14.25,No,,8,98,No,Yes,Treatment interruption,25,59
NCT59884268,Pertuzumab,Anti-HER2,Melanoma,Phase 1,63,Infusion-related reaction,Musculoskeletal disorders,No,Severe,63,17,17,26.98,Yes,Safety concerns,10,263,Yes,No,Treatment interruption,23,6
NCT68549292,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 2,283,Arthralgia,Respiratory disorders,No,Mild,283,59,64,20.85,No,,12,277,Yes,No,Discontinuation,26,17
NCT16585655,Pertuzumab,Anti-HER2,Lung Cancer,Phase 1,335,Neutropenia,Endocrine disorders,No,Severe,335,24,28,7.16,Yes,Competition,1,172,Yes,Yes,Dose reduction,14,78
NCT13786211,Pertuzumab,Anti-HER2,Melanoma,Phase 1,319,Hepatotoxicity,Skin disorders,No,Mild,319,13,14,4.08,No,,15,154,Yes,No,Discontinuation,21,69
NCT80402633,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 2,343,Nausea,Cardiac disorders,No,Mild,343,66,71,19.24,No,,11,163,Yes,Yes,Treatment interruption,16,23
NCT90198796,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 4,245,Rash,Blood disorders,No,Moderate,245,18,23,7.35,No,,19,97,No,No,Treatment interruption,12,19
NCT45154171,Pertuzumab,Anti-HER2,Breast Cancer,Phase 2,307,Arthralgia,Hepatobiliary disorders,Yes,Mild,307,24,28,7.82,No,,4,93,No,No,Treatment interruption,17,2
NCT99113663,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 4,391,Hepatotoxicity,Blood disorders,No,Moderate,391,47,52,12.02,No,,14,38,No,No,Treatment interruption,7,44
NCT37484083,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 3,357,Cardiotoxicity,Hepatobiliary disorders,No,Mild,357,43,44,12.04,No,,12,238,Yes,Yes,Supportive care,7,28
NCT32973774,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 4,446,Anemia,Musculoskeletal disorders,No,Mild,446,98,101,21.97,No,,20,35,No,Yes,Dose reduction,23,41
NCT49834994,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 1,456,Cardiotoxicity,Musculoskeletal disorders,No,Moderate,456,115,120,25.22,No,,8,348,Yes,No,Dose reduction,18,83
NCT62419614,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,261,Diarrhea,Blood disorders,No,Mild,261,76,79,29.12,No,,1,227,No,Yes,Dose reduction,25,7
NCT33146205,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 2,33,Nausea,Cardiac disorders,No,Moderate,33,7,12,21.21,No,,18,344,Yes,Yes,Treatment interruption,8,79
NCT82922219,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 4,498,Hyperthyroidism,Blood disorders,No,Severe,498,138,140,27.71,No,,12,231,Yes,Yes,Dose reduction,4,18
NCT95712353,Pertuzumab,Anti-HER2,Lung Cancer,Phase 2,209,Infusion-related reaction,Hepatobiliary disorders,Yes,Mild,209,38,43,18.18,No,,6,349,Yes,Yes,Dose reduction,7,31
NCT80215120,Pertuzumab,Anti-HER2,Breast Cancer,Phase 2,369,Hypothyroidism,Skin disorders,No,Moderate,369,20,24,5.42,Yes,Competition,16,285,No,No,Dose reduction,8,16
NCT93109518,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 2,326,Nausea,Respiratory disorders,Yes,Severe,326,64,65,19.63,No,,11,239,No,No,Supportive care,26,17
NCT55072151,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 2,119,Pneumonitis,Hepatobiliary disorders,No,Moderate,119,32,34,26.89,No,,14,255,No,Yes,Supportive care,2,86
NCT16618165,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 2,397,Arthralgia,Blood disorders,No,Severe,397,46,49,11.59,No,,2,49,No,No,Treatment interruption,22,8
NCT67323350,Pertuzumab,Anti-HER2,Lung Cancer,Phase 1,335,Hepatotoxicity,Hepatobiliary disorders,No,Mild,335,44,49,13.13,No,,1,207,No,Yes,Discontinuation,14,90
NCT70622171,Pertuzumab,Anti-HER2,Lung Cancer,Phase 1,100,Cardiotoxicity,Endocrine disorders,No,Severe,100,29,32,29.0,No,,7,244,Yes,No,Treatment interruption,25,43
NCT63569758,Pertuzumab,Anti-HER2,Lung Cancer,Phase 1,361,Arthralgia,Gastrointestinal disorders,No,Mild,361,69,69,19.11,No,,13,233,No,No,Dose reduction,19,84
NCT23247700,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,35,Colitis,Endocrine disorders,No,Mild,35,10,15,28.57,No,,14,149,Yes,No,Dose reduction,26,20
NCT90754576,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 3,231,Anemia,Endocrine disorders,No,Severe,231,12,14,5.19,No,,16,100,No,Yes,Dose reduction,21,23
NCT44994270,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 3,110,Infusion-related reaction,Gastrointestinal disorders,No,Moderate,110,29,31,26.36,No,,5,173,Yes,No,Discontinuation,16,22
NCT32813534,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 3,346,Nausea,Musculoskeletal disorders,No,Severe,346,39,44,11.27,No,,13,86,Yes,Yes,Supportive care,25,66
NCT46179643,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,62,Pneumonitis,Endocrine disorders,No,Severe,62,14,14,22.58,Yes,Competition,18,47,No,Yes,Supportive care,15,58
NCT75852352,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 3,474,Neutropenia,Respiratory disorders,Yes,Moderate,474,110,113,23.21,No,,20,334,Yes,Yes,Supportive care,14,6
NCT68072118,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,290,Hyperthyroidism,Skin disorders,No,Moderate,290,87,91,30.0,No,,11,251,No,Yes,Supportive care,8,13
NCT56496152,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 4,316,Colitis,Cardiac disorders,No,Moderate,316,67,72,21.2,No,,16,181,No,No,Supportive care,21,37
NCT62968034,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 4,375,Infusion-related reaction,Skin disorders,No,Mild,375,6,10,1.6,No,,17,79,No,Yes,Discontinuation,6,13
NCT91653186,Pertuzumab,Anti-HER2,Lung Cancer,Phase 1,428,Arthralgia,Hepatobiliary disorders,Yes,Severe,428,26,30,6.07,Yes,Competition,8,119,Yes,Yes,Treatment interruption,15,57
NCT10726930,Pertuzumab,Anti-HER2,Melanoma,Phase 4,26,Cardiotoxicity,Skin disorders,No,Mild,26,3,6,11.54,No,,18,43,No,Yes,Dose reduction,17,2
NCT42702187,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 2,312,Anemia,Respiratory disorders,No,Severe,312,46,50,14.74,No,,13,116,Yes,Yes,Discontinuation,8,60
NCT87604159,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 2,332,Pneumonitis,General disorders,Yes,Moderate,332,16,21,4.82,Yes,Safety concerns,10,149,Yes,No,Discontinuation,1,14
NCT10127845,Pertuzumab,Anti-HER2,Melanoma,Phase 3,441,Hypothyroidism,Skin disorders,No,Mild,441,89,91,20.18,No,,10,112,No,No,Supportive care,6,60
NCT69389973,Pertuzumab,Anti-HER2,Breast Cancer,Phase 4,365,Colitis,Blood disorders,Yes,Mild,365,68,70,18.63,No,,2,281,No,No,Treatment interruption,3,76
NCT59881292,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,297,Anemia,Respiratory disorders,Yes,Moderate,297,76,77,25.59,Yes,Lack of efficacy,10,233,No,Yes,Treatment interruption,30,53
NCT80145602,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 2,442,Hypothyroidism,Gastrointestinal disorders,No,Severe,442,132,135,29.86,Yes,Regulatory issues,2,86,No,No,Treatment interruption,15,19
NCT16132627,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 3,99,Hypothyroidism,Cardiac disorders,No,Severe,99,12,12,12.12,No,,15,345,No,No,Treatment interruption,8,32
NCT65620637,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 4,238,Neutropenia,Hepatobiliary disorders,No,Mild,238,44,46,18.49,No,,10,97,Yes,No,Dose reduction,1,34
NCT44419293,Pertuzumab,Anti-HER2,Breast Cancer,Phase 1,443,Arthralgia,Blood disorders,No,Mild,443,28,28,6.32,No,,10,178,No,Yes,Discontinuation,10,39
NCT34081421,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 4,33,Arthralgia,Cardiac disorders,No,Severe,33,5,8,15.15,Yes,Competition,14,207,Yes,No,Dose reduction,27,88
NCT32476649,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 2,426,Infusion-related reaction,General disorders,No,Mild,426,88,88,20.66,No,,13,58,No,No,Dose reduction,1,42
NCT41815418,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 3,448,Anemia,Musculoskeletal disorders,No,Mild,448,93,93,20.76,No,,15,42,No,No,Supportive care,29,21
NCT30474936,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 4,62,Arthralgia,Blood disorders,No,Mild,62,8,10,12.9,No,,12,307,No,No,Dose reduction,10,2
NCT85147069,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,350,Nausea,Cardiac disorders,Yes,Mild,350,80,84,22.86,No,,15,238,No,Yes,Treatment interruption,11,12
NCT31307805,Pertuzumab,Anti-HER2,Breast Cancer,Phase 1,143,Diarrhea,Hepatobiliary disorders,No,Mild,143,30,31,20.98,No,,5,147,No,No,Supportive care,22,76
NCT17791378,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,430,Anemia,Hepatobiliary disorders,Yes,Severe,430,100,103,23.26,Yes,Lack of efficacy,10,291,No,Yes,Treatment interruption,14,68
NCT31312268,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,481,Nausea,Respiratory disorders,No,Mild,481,27,29,5.61,No,,5,280,No,Yes,Treatment interruption,6,64
NCT56667881,Pertuzumab,Anti-HER2,Melanoma,Phase 1,312,Cardiotoxicity,Gastrointestinal disorders,No,Mild,312,40,41,12.82,No,,14,73,Yes,Yes,Discontinuation,29,30
NCT35779804,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,241,Nausea,Gastrointestinal disorders,Yes,Moderate,241,6,6,2.49,No,,19,301,No,No,Discontinuation,25,81
NCT42310721,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 2,149,Cardiotoxicity,Cardiac disorders,No,Moderate,149,16,17,10.74,No,,11,279,Yes,No,Discontinuation,22,31
NCT75088297,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 3,348,Colitis,Endocrine disorders,Yes,Moderate,348,87,87,25.0,Yes,Competition,4,226,Yes,Yes,Supportive care,16,63
NCT39034637,Pertuzumab,Anti-HER2,Rheumatoid Arthritis,Phase 2,138,Colitis,Endocrine disorders,No,Severe,138,11,16,7.97,No,,20,144,Yes,No,Dose reduction,28,11
NCT64288935,Pertuzumab,Anti-HER2,Breast Cancer,Phase 2,500,Pneumonitis,Blood disorders,No,Severe,500,13,14,2.6,Yes,Lack of efficacy,3,306,Yes,Yes,Discontinuation,25,57
NCT55630803,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 4,362,Rash,Cardiac disorders,No,Moderate,362,60,63,16.57,No,,11,354,Yes,Yes,Discontinuation,18,17
NCT35719211,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,100,Hepatotoxicity,Endocrine disorders,No,Severe,100,29,34,29.0,No,,12,307,No,No,Supportive care,22,85
NCT25269863,Pertuzumab,Anti-HER2,Melanoma,Phase 1,371,Diarrhea,Respiratory disorders,Yes,Severe,371,90,93,24.26,Yes,Competition,7,223,No,No,Supportive care,4,13
NCT51941873,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 1,252,Colitis,Hepatobiliary disorders,No,Mild,252,49,53,19.44,No,,20,110,No,No,Discontinuation,26,15
NCT70740088,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 2,200,Rash,Gastrointestinal disorders,Yes,Mild,200,15,15,7.5,No,,3,104,No,Yes,Discontinuation,8,60
NCT28467886,Pertuzumab,Anti-HER2,Colorectal Cancer,Phase 1,349,Pneumonitis,Skin disorders,No,Mild,349,5,8,1.43,No,,7,232,Yes,Yes,Supportive care,27,1
NCT15909095,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 3,350,Pneumonitis,Musculoskeletal disorders,Yes,Severe,350,57,58,16.29,No,,13,171,Yes,No,Supportive care,21,4
NCT32130329,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 4,131,Neutropenia,Gastrointestinal disorders,No,Moderate,131,21,23,16.03,No,,8,107,Yes,No,Discontinuation,8,51
NCT63414079,Pertuzumab,Anti-HER2,Multiple Myeloma,Phase 1,355,Anemia,General disorders,Yes,Moderate,355,53,53,14.93,Yes,Regulatory issues,6,332,Yes,No,Supportive care,13,73
NCT71488367,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 1,419,Neutropenia,Hepatobiliary disorders,No,Mild,419,118,118,28.16,No,,15,186,No,No,Discontinuation,28,78
NCT78068230,Pertuzumab,Anti-HER2,Multiple Sclerosis,Phase 1,298,Colitis,Musculoskeletal disorders,No,Moderate,298,16,20,5.37,No,,6,80,No,Yes,Discontinuation,18,18
NCT82451610,Pertuzumab,Anti-HER2,Breast Cancer,Phase 2,184,Hyperthyroidism,Skin disorders,No,Mild,184,16,18,8.7,No,,16,219,Yes,No,Discontinuation,26,89
NCT45855024,Pertuzumab,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,210,Pneumonitis,Gastrointestinal disorders,No,Mild,210,57,58,27.14,No,,18,170,Yes,No,Dose reduction,15,1
NCT87924316,Pertuzumab,Anti-HER2,Melanoma,Phase 1,74,Pneumonitis,Musculoskeletal disorders,No,Severe,74,2,3,2.7,No,,8,227,No,Yes,Dose reduction,29,54
NCT10464316,Pertuzumab,Anti-HER2,Melanoma,Phase 3,306,Hypothyroidism,Blood disorders,No,Mild,306,48,52,15.69,No,,12,97,Yes,No,Treatment interruption,19,70
NCT65538636,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 2,26,Pneumonitis,Endocrine disorders,No,Moderate,26,2,2,7.69,No,,1,320,Yes,No,Dose reduction,7,65
NCT14569851,Ado-trastuzumab emtansine,Anti-HER2,Multiple Sclerosis,Phase 4,67,Pneumonitis,Hepatobiliary disorders,No,Mild,67,10,15,14.93,No,,17,150,Yes,No,Supportive care,24,43
NCT43984830,Ado-trastuzumab emtansine,Anti-HER2,Lung Cancer,Phase 2,343,Nausea,Cardiac disorders,No,Moderate,343,52,55,15.16,No,,17,262,Yes,No,Dose reduction,15,21
NCT67500193,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 2,28,Neutropenia,Musculoskeletal disorders,No,Moderate,28,1,2,3.57,No,,15,288,Yes,No,Discontinuation,17,74
NCT97895426,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 4,376,Colitis,Endocrine disorders,No,Mild,376,63,63,16.76,No,,4,317,Yes,No,Treatment interruption,13,65
NCT33143213,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 1,180,Neutropenia,General disorders,No,Moderate,180,36,41,20.0,No,,8,347,No,Yes,Discontinuation,6,77
NCT76019327,Ado-trastuzumab emtansine,Anti-HER2,Multiple Sclerosis,Phase 4,132,Colitis,Musculoskeletal disorders,Yes,Severe,132,25,28,18.94,No,,14,236,Yes,No,Treatment interruption,23,3
NCT81591391,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 2,183,Fatigue,Respiratory disorders,No,Mild,183,26,29,14.21,No,,8,149,No,No,Treatment interruption,19,38
NCT24334634,Ado-trastuzumab emtansine,Anti-HER2,Multiple Sclerosis,Phase 4,139,Fatigue,Skin disorders,No,Mild,139,36,36,25.9,No,,3,202,Yes,No,Supportive care,12,26
NCT13075361,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 2,428,Infusion-related reaction,Skin disorders,Yes,Severe,428,102,103,23.83,Yes,Regulatory issues,17,224,Yes,Yes,Discontinuation,9,7
NCT38101800,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 4,220,Nausea,Respiratory disorders,No,Moderate,220,12,16,5.45,No,,9,102,No,No,Supportive care,22,9
NCT24333981,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 3,147,Colitis,Cardiac disorders,No,Mild,147,12,17,8.16,No,,3,147,No,Yes,Supportive care,14,46
NCT23370587,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 3,265,Pneumonitis,Skin disorders,Yes,Mild,265,71,76,26.79,No,,15,243,Yes,No,Dose reduction,19,60
NCT37671205,Ado-trastuzumab emtansine,Anti-HER2,Lung Cancer,Phase 2,168,Cardiotoxicity,Endocrine disorders,No,Mild,168,2,2,1.19,No,,6,223,Yes,Yes,Dose reduction,23,38
NCT93349102,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 1,220,Neutropenia,Respiratory disorders,No,Mild,220,57,62,25.91,No,,16,281,No,No,Treatment interruption,16,79
NCT53677994,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 3,270,Fatigue,Musculoskeletal disorders,No,Mild,270,11,16,4.07,No,,7,121,No,No,Treatment interruption,25,90
NCT80089930,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 2,225,Nausea,Cardiac disorders,Yes,Moderate,225,36,41,16.0,No,,9,346,No,Yes,Treatment interruption,8,38
NCT36227539,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 1,120,Arthralgia,Gastrointestinal disorders,Yes,Severe,120,24,26,20.0,Yes,Safety concerns,20,264,Yes,Yes,Dose reduction,21,59
NCT63666810,Ado-trastuzumab emtansine,Anti-HER2,Non-Hodgkin Lymphoma,Phase 1,139,Diarrhea,Respiratory disorders,No,Moderate,139,20,23,14.39,Yes,Lack of efficacy,3,343,No,Yes,Treatment interruption,19,16
NCT63632439,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer,Phase 2,345,Pneumonitis,Cardiac disorders,No,Mild,345,25,26,7.25,No,,8,59,No,Yes,Discontinuation,17,38
NCT38864226,Ado-trastuzumab emtansine,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,43,Rash,General disorders,No,Moderate,43,11,15,25.58,No,,6,274,No,No,Dose reduction,1,82
NCT24052907,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 4,130,Colitis,Gastrointestinal disorders,No,Mild,130,10,12,7.69,No,,17,138,Yes,Yes,Discontinuation,30,31
NCT31880050,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 4,495,Cardiotoxicity,Skin disorders,No,Mild,495,83,87,16.77,No,,16,68,Yes,Yes,Discontinuation,18,1
NCT49317178,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 1,362,Hypothyroidism,Cardiac disorders,Yes,Mild,362,72,77,19.89,No,,7,235,Yes,No,Treatment interruption,9,21
NCT91092049,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer,Phase 3,358,Arthralgia,Musculoskeletal disorders,Yes,Moderate,358,9,13,2.51,Yes,Safety concerns,17,364,No,No,Dose reduction,22,19
NCT21070038,Ado-trastuzumab emtansine,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,289,Infusion-related reaction,Blood disorders,No,Mild,289,8,11,2.77,No,,12,265,Yes,No,Dose reduction,22,77
NCT76304008,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer,Phase 2,293,Hypothyroidism,Endocrine disorders,Yes,Moderate,293,87,91,29.69,Yes,Lack of efficacy,7,362,Yes,Yes,Discontinuation,5,19
NCT83216064,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 3,390,Rash,General disorders,Yes,Severe,390,99,102,25.38,No,,10,351,Yes,Yes,Treatment interruption,9,46
NCT76609479,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 3,354,Fatigue,Respiratory disorders,No,Severe,354,42,46,11.86,No,,8,333,No,No,Supportive care,24,53
NCT20647998,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 3,380,Pneumonitis,Gastrointestinal disorders,No,Mild,380,17,19,4.47,No,,12,97,Yes,No,Dose reduction,30,42
NCT57697567,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 2,157,Arthralgia,General disorders,No,Moderate,157,26,27,16.56,No,,2,140,Yes,No,Supportive care,15,10
NCT56745695,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 1,497,Neutropenia,Endocrine disorders,No,Severe,497,137,140,27.57,Yes,Safety concerns,8,258,No,No,Supportive care,15,82
NCT50280415,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 3,494,Infusion-related reaction,Respiratory disorders,No,Moderate,494,31,31,6.28,No,,13,108,Yes,Yes,Supportive care,17,89
NCT92331219,Ado-trastuzumab emtansine,Anti-HER2,Non-Hodgkin Lymphoma,Phase 1,114,Thrombocytopenia,General disorders,No,Mild,114,5,6,4.39,No,,3,78,No,Yes,Dose reduction,24,76
NCT80457922,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 4,244,Nausea,Endocrine disorders,No,Mild,244,53,57,21.72,No,,18,161,No,Yes,Discontinuation,9,40
NCT32576022,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 3,385,Diarrhea,Blood disorders,Yes,Mild,385,13,15,3.38,No,,20,238,No,Yes,Dose reduction,1,71
NCT45798896,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 4,320,Neutropenia,General disorders,No,Severe,320,69,70,21.56,No,,5,66,Yes,Yes,Discontinuation,29,63
NCT92661951,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 2,208,Neutropenia,Hepatobiliary disorders,No,Severe,208,58,62,27.88,No,,17,244,No,Yes,Treatment interruption,25,20
NCT72382595,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 3,156,Neutropenia,Blood disorders,Yes,Mild,156,44,45,28.21,No,,20,279,No,No,Dose reduction,6,78
NCT83116387,Ado-trastuzumab emtansine,Anti-HER2,Multiple Myeloma,Phase 2,194,Neutropenia,Musculoskeletal disorders,No,Severe,194,4,6,2.06,No,,10,88,No,Yes,Discontinuation,7,61
NCT67013188,Ado-trastuzumab emtansine,Anti-HER2,Lung Cancer,Phase 4,203,Infusion-related reaction,Musculoskeletal disorders,Yes,Severe,203,24,27,11.82,Yes,Safety concerns,11,77,No,Yes,Dose reduction,26,52
NCT23264578,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer,Phase 3,252,Diarrhea,General disorders,No,Severe,252,51,53,20.24,No,,10,197,No,Yes,Treatment interruption,9,79
NCT40302058,Ado-trastuzumab emtansine,Anti-HER2,Non-Hodgkin Lymphoma,Phase 3,309,Diarrhea,General disorders,Yes,Moderate,309,51,52,16.5,No,,3,82,Yes,No,Discontinuation,28,61
NCT11141610,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 1,101,Hyperthyroidism,Cardiac disorders,No,Moderate,101,13,17,12.87,No,,19,93,Yes,No,Treatment interruption,23,51
NCT34059894,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 4,115,Colitis,Skin disorders,No,Mild,115,25,28,21.74,No,,11,80,No,No,Treatment interruption,9,42
NCT26729171,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 1,415,Fatigue,Endocrine disorders,No,Mild,415,8,9,1.93,No,,15,152,Yes,Yes,Supportive care,24,49
NCT93304551,Ado-trastuzumab emtansine,Anti-HER2,Melanoma,Phase 4,290,Anemia,Endocrine disorders,No,Severe,290,24,24,8.28,Yes,Safety concerns,2,158,Yes,Yes,Discontinuation,15,40
NCT88730017,Ado-trastuzumab emtansine,Anti-HER2,Rheumatoid Arthritis,Phase 2,151,Hypothyroidism,Gastrointestinal disorders,No,Moderate,151,26,29,17.22,No,,11,62,No,Yes,Treatment interruption,30,65
NCT43124872,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer,Phase 1,425,Arthralgia,Respiratory disorders,No,Mild,425,35,38,8.24,No,,7,107,Yes,No,Treatment interruption,13,38
NCT62022011,Ado-trastuzumab emtansine,Anti-HER2,Colorectal Cancer,Phase 3,482,Cardiotoxicity,Cardiac disorders,Yes,Severe,482,127,131,26.35,Yes,Lack of efficacy,15,129,No,Yes,Treatment interruption,15,46
NCT32919714,Ado-trastuzumab emtansine,Anti-HER2,Multiple Sclerosis,Phase 4,79,Rash,Skin disorders,No,Mild,79,9,11,11.39,No,,10,355,No,No,Dose reduction,25,64
