rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT90643,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 2,147,15,Monthly,69,18-65,40% M/60% F,0-2,5,3,Mild impairment,Infusion reaction,Hepatic,Gastrointestinal,Mild,2,24.37,Yes,Yes,Treatment hold,Dose adjustment,21,22,No,Delay,Yes,Yes,Yes,,No,Negative,ECOG,Low
RCT66770,Rituximab,Anti-CD20,Single-arm,None,Phase 3,34,4,Every 3 weeks,81,≥18,60% M/40% F,0-2,5,0,Moderate impairment,Infusion reaction,Gastrointestinal,Hepatic,Severe,1,25.35,Yes,No,Dose reduction,Patient education,20,4,No,Reduction,Yes,No,Yes,Regulatory,No,None,Prior treatments,Low
RCT41727,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 3,22,9,Bi-weekly,71,18-65,60% M/40% F,0-1,2,1,Mild impairment,Neutropenia,Hematological,Hepatic,Mild,2,22.07,No,No,Discontinuation,Patient education,10,2,Yes,Discontinuation,Yes,No,Yes,Regulatory,No,Positive,ECOG,Unknown
RCT58070,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 1,250,15,Every 3 weeks,97,18-65,40% M/60% F,1-2,4,2,Moderate impairment,Neutropenia,Gastrointestinal,Skin,Severe,5,16.0,No,Yes,Supportive care,Premedication,23,37,Yes,Discontinuation,No,Yes,No,,,Unknown,Prior treatments,Medium
RCT59474,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 2,82,2,Weekly,109,21-85,50% M/50% F,1-2,2,3,Moderate impairment,Nausea,Hepatic,Cardiac,Severe,3,18.14,Yes,Yes,Supportive care,Monitoring,22,24,No,Discontinuation,Yes,No,No,Competition,No,Negative,Gender,Low
RCT45056,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 2,243,12,Weekly,150,18-65,60% M/40% F,0-2,3,1,Mild impairment,Rash,Dermatological,Blood,Moderate,2,19.66,No,No,Dose reduction,Premedication,12,4,No,Delay,Yes,Yes,Yes,Competition,,Negative,Gender,Unknown
RCT32970,Rituximab,Anti-CD20,Randomized,Placebo,Phase 1,57,15,Bi-weekly,37,18-75,40% M/60% F,0-1,2,1,Normal,Infusion reaction,Gastrointestinal,Cardiac,Severe,1,10.03,No,Yes,Dose reduction,Dose adjustment,14,29,No,Discontinuation,No,No,Yes,Regulatory,No,Unknown,Prior treatments,High
RCT67672,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 2,248,5,Every 3 weeks,103,18-75,50% M/50% F,1-2,4,1,Moderate impairment,Fatigue,Hepatic,Hepatic,Moderate,1,11.16,Yes,No,Supportive care,Monitoring,18,36,No,None,Yes,No,Yes,Regulatory,,Positive,ECOG,Low
RCT15576,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 3,242,5,Weekly,39,21-85,40% M/60% F,1-2,0,3,Normal,Rash,Gastrointestinal,Hepatic,Moderate,3,16.21,No,No,Dose reduction,Monitoring,3,38,Yes,Delay,Yes,Yes,No,Safety,,Unknown,Gender,Unknown
RCT25543,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 1,103,11,Weekly,113,21-85,60% M/40% F,0-1,3,1,Mild impairment,Infusion reaction,Hepatic,Skin,Severe,5,9.38,Yes,Yes,Discontinuation,Monitoring,17,38,No,Delay,Yes,Yes,Yes,Safety,No,Positive,Age,Low
RCT11507,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 1,61,12,Bi-weekly,161,≥18,60% M/40% F,1-2,0,2,Mild impairment,Fatigue,Cardiac,Skin,Moderate,3,4.97,No,No,Dose reduction,Monitoring,8,37,Yes,Discontinuation,Yes,Yes,Yes,Safety,Yes,None,None,High
RCT51205,Rituximab,Anti-CD20,Randomized,Placebo,Phase 2,299,7,Weekly,101,≥18,60% M/40% F,1-2,5,2,Normal,Infusion reaction,Gastrointestinal,Gastrointestinal,Moderate,2,15.93,Yes,Yes,Dose reduction,Patient education,12,10,Yes,Delay,Yes,No,Yes,Efficacy,,Unknown,Age,Low
RCT53483,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 2,42,2,Every 3 weeks,110,≥18,50% M/50% F,0-2,3,2,Mild impairment,Neutropenia,Gastrointestinal,Skin,Severe,2,3.55,No,No,Supportive care,Dose adjustment,2,15,No,Delay,Yes,Yes,Yes,,,None,None,High
RCT62256,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 2,211,10,Monthly,89,21-85,60% M/40% F,0-1,2,2,Moderate impairment,Nausea,Hepatic,Gastrointestinal,Moderate,1,24.64,Yes,No,Discontinuation,Dose adjustment,15,25,No,Delay,No,No,Yes,Regulatory,,Positive,None,Unknown
RCT15294,Bevacizumab,Anti-VEGF,Randomized,None,Phase 1,173,15,Every 3 weeks,47,18-65,50% M/50% F,1-2,4,0,Moderate impairment,Rash,Cardiac,Skin,Severe,4,4.99,Yes,No,Supportive care,Premedication,16,18,Yes,Delay,No,Yes,Yes,Safety,Yes,Unknown,Prior treatments,High
RCT82637,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 2,36,2,Bi-weekly,36,18-65,40% M/60% F,0-2,4,0,Moderate impairment,Neutropenia,Hematological,Hepatic,Severe,2,15.51,No,No,Treatment hold,Premedication,16,46,Yes,None,Yes,Yes,Yes,Efficacy,No,Positive,Gender,Unknown
RCT29793,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 1,187,10,Bi-weekly,96,18-75,60% M/40% F,0-1,1,3,Mild impairment,Neutropenia,Hematological,Skin,Severe,1,23.07,Yes,Yes,Discontinuation,Premedication,21,35,Yes,None,No,No,No,Efficacy,No,Negative,Gender,Medium
RCT95800,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 3,119,1,Every 3 weeks,102,18-75,50% M/50% F,1-2,5,3,Normal,Infusion reaction,Hepatic,Hepatic,Moderate,5,15.02,No,Yes,Dose reduction,Dose adjustment,13,11,Yes,Reduction,Yes,No,Yes,Competition,,Negative,Gender,Medium
RCT58138,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,51,5,Every 3 weeks,164,21-85,40% M/60% F,0-1,1,3,Normal,Fatigue,Dermatological,Cardiac,Mild,4,18.61,Yes,No,Dose reduction,Premedication,14,10,Yes,Delay,Yes,Yes,Yes,Efficacy,,None,None,Low
RCT84992,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 1,27,14,Weekly,95,21-85,40% M/60% F,0-2,5,2,Normal,Fatigue,Cardiac,Blood,Mild,4,15.9,No,Yes,Discontinuation,Monitoring,19,19,No,Delay,No,Yes,Yes,Efficacy,,Unknown,None,High
RCT90834,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 1,259,6,Bi-weekly,104,18-65,60% M/40% F,0-2,5,3,Normal,Rash,Hepatic,Skin,Moderate,1,21.21,No,Yes,Dose reduction,Patient education,16,42,No,Discontinuation,No,No,No,,,None,Age,Medium
RCT72658,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 1,94,3,Bi-weekly,108,18-65,50% M/50% F,0-1,2,3,Moderate impairment,Nausea,Hepatic,Blood,Mild,3,27.42,No,No,Discontinuation,Patient education,5,41,No,Discontinuation,Yes,Yes,No,Safety,,Negative,Age,Low
RCT93231,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 3,127,13,Every 3 weeks,74,≥18,40% M/60% F,1-2,5,1,Moderate impairment,Nausea,Cardiac,Blood,Mild,1,28.27,Yes,Yes,Discontinuation,Monitoring,17,60,Yes,None,Yes,No,No,,No,Unknown,Prior treatments,High
RCT66135,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,250,1,Every 3 weeks,114,21-85,40% M/60% F,0-2,5,1,Mild impairment,Nausea,Hepatic,Hepatic,Mild,1,16.7,Yes,Yes,Supportive care,Patient education,25,42,No,Reduction,No,Yes,No,Regulatory,No,Negative,Gender,Low
RCT34378,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 3,158,8,Weekly,46,≥18,40% M/60% F,1-2,1,0,Normal,Rash,Hematological,Hepatic,Moderate,1,6.18,Yes,Yes,Dose reduction,Patient education,27,34,No,Reduction,Yes,Yes,Yes,Efficacy,No,Negative,ECOG,Low
RCT36832,Cetuximab,Anti-EGFR,Crossover,None,Phase 3,128,4,Bi-weekly,65,21-85,40% M/60% F,0-2,2,0,Moderate impairment,Nausea,Hepatic,Gastrointestinal,Moderate,2,5.18,No,Yes,Dose reduction,Monitoring,24,32,No,Discontinuation,No,No,No,Regulatory,Yes,Unknown,Age,Unknown
RCT13205,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 3,43,12,Monthly,71,18-75,60% M/40% F,1-2,1,1,Mild impairment,Rash,Gastrointestinal,Gastrointestinal,Moderate,2,2.46,Yes,Yes,Treatment hold,Premedication,26,3,Yes,None,No,Yes,Yes,,No,Unknown,None,High
RCT30554,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 3,92,10,Every 3 weeks,65,18-75,60% M/40% F,0-2,1,0,Moderate impairment,Fatigue,Gastrointestinal,Blood,Moderate,4,7.65,Yes,Yes,Supportive care,Dose adjustment,13,20,No,Delay,No,No,Yes,Safety,,Unknown,Gender,Low
RCT23962,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 3,267,14,Bi-weekly,61,21-85,40% M/60% F,0-2,0,3,Normal,Neutropenia,Dermatological,Blood,Severe,2,19.09,Yes,No,Discontinuation,Patient education,21,46,Yes,Reduction,No,Yes,No,,No,Positive,None,Low
RCT99292,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,155,14,Bi-weekly,87,≥18,50% M/50% F,0-2,3,1,Mild impairment,Fatigue,Cardiac,Gastrointestinal,Moderate,4,16.15,No,Yes,Treatment hold,Premedication,15,3,No,Discontinuation,Yes,No,Yes,Safety,No,Unknown,Age,Unknown
RCT56515,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 1,140,13,Bi-weekly,133,≥18,40% M/60% F,0-1,0,1,Mild impairment,Fatigue,Cardiac,Cardiac,Mild,2,22.97,No,Yes,Supportive care,Patient education,8,42,No,None,No,No,No,Efficacy,,None,Prior treatments,Low
RCT77641,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 2,165,6,Bi-weekly,137,18-65,50% M/50% F,0-2,4,3,Mild impairment,Infusion reaction,Hepatic,Hepatic,Moderate,4,18.08,No,No,Supportive care,Premedication,27,3,Yes,Delay,No,Yes,Yes,,Yes,Unknown,None,Unknown
RCT37914,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 1,131,4,Weekly,123,21-85,40% M/60% F,1-2,5,0,Mild impairment,Infusion reaction,Dermatological,Blood,Moderate,4,4.67,No,Yes,Discontinuation,Monitoring,9,1,Yes,Reduction,Yes,No,Yes,Regulatory,Yes,Unknown,Age,Low
RCT60145,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,23,1,Every 3 weeks,130,≥18,40% M/60% F,0-1,1,3,Moderate impairment,Nausea,Cardiac,Cardiac,Severe,2,10.86,No,No,Dose reduction,Dose adjustment,7,45,No,Reduction,No,No,No,Competition,No,Unknown,Age,Medium
RCT87298,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 2,201,7,Bi-weekly,180,21-85,60% M/40% F,0-1,4,2,Mild impairment,Neutropenia,Hematological,Blood,Moderate,4,13.04,No,No,Discontinuation,Dose adjustment,25,2,Yes,Discontinuation,No,No,Yes,,,Negative,Age,High
RCT12955,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 3,93,9,Bi-weekly,93,18-65,50% M/50% F,1-2,4,2,Normal,Nausea,Hepatic,Blood,Severe,4,10.76,No,Yes,Supportive care,Premedication,28,22,No,Delay,No,No,No,Competition,,Positive,Prior treatments,Low
RCT97816,Rituximab,Anti-CD20,Crossover,None,Phase 3,89,4,Bi-weekly,35,18-75,50% M/50% F,0-2,0,1,Moderate impairment,Neutropenia,Cardiac,Skin,Severe,2,10.47,No,No,Supportive care,Monitoring,25,25,Yes,None,Yes,Yes,No,Safety,Yes,None,None,High
RCT32286,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,140,3,Bi-weekly,176,18-65,40% M/60% F,0-1,5,0,Normal,Fatigue,Hepatic,Skin,Moderate,5,24.31,Yes,Yes,Dose reduction,Patient education,3,20,Yes,Discontinuation,No,Yes,Yes,Efficacy,Yes,None,None,Unknown
RCT14175,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 3,162,14,Bi-weekly,152,21-85,50% M/50% F,0-2,3,3,Mild impairment,Fatigue,Hepatic,Gastrointestinal,Mild,5,15.57,Yes,Yes,Supportive care,Patient education,5,32,No,Discontinuation,No,No,Yes,Competition,No,Negative,None,Low
RCT19719,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 3,91,4,Every 3 weeks,148,18-75,50% M/50% F,1-2,5,3,Moderate impairment,Neutropenia,Hematological,Skin,Mild,1,16.51,Yes,Yes,Treatment hold,Patient education,25,38,No,Discontinuation,Yes,Yes,No,Efficacy,Yes,None,Gender,High
RCT39656,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 3,261,14,Every 3 weeks,89,21-85,50% M/50% F,1-2,4,1,Mild impairment,Fatigue,Hepatic,Cardiac,Severe,3,24.07,Yes,No,Discontinuation,Dose adjustment,14,29,No,Reduction,Yes,No,No,Safety,No,None,Gender,High
RCT15434,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 1,50,5,Weekly,73,18-65,60% M/40% F,0-1,5,1,Normal,Fatigue,Hematological,Gastrointestinal,Moderate,3,1.06,Yes,Yes,Discontinuation,Premedication,15,20,No,Reduction,No,No,No,Safety,No,Positive,Prior treatments,High
RCT92342,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 3,299,2,Weekly,151,≥18,50% M/50% F,0-2,3,1,Mild impairment,Rash,Hepatic,Skin,Mild,4,13.14,Yes,Yes,Supportive care,Monitoring,5,54,Yes,Reduction,Yes,Yes,Yes,Safety,No,Negative,Age,High
RCT58321,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 1,202,8,Weekly,173,18-65,60% M/40% F,0-1,2,1,Mild impairment,Fatigue,Cardiac,Skin,Mild,1,24.7,No,No,Supportive care,Monitoring,25,2,No,Delay,No,No,No,,,Positive,ECOG,Low
RCT78625,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 3,67,5,Weekly,176,18-65,60% M/40% F,0-2,5,0,Normal,Nausea,Gastrointestinal,Cardiac,Severe,5,5.13,Yes,Yes,Discontinuation,Dose adjustment,13,42,No,Discontinuation,No,No,No,Efficacy,,Positive,Prior treatments,Low
RCT66029,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 3,223,2,Weekly,100,21-85,50% M/50% F,0-1,1,1,Moderate impairment,Nausea,Hepatic,Hepatic,Mild,5,5.14,Yes,No,Supportive care,Premedication,20,43,Yes,Reduction,Yes,Yes,Yes,Regulatory,No,Unknown,None,High
RCT47664,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 1,196,5,Every 3 weeks,132,21-85,50% M/50% F,0-2,4,0,Normal,Neutropenia,Gastrointestinal,Skin,Severe,4,11.29,Yes,No,Discontinuation,Patient education,23,6,No,Delay,Yes,No,Yes,Competition,Yes,None,Prior treatments,High
RCT29545,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,59,13,Weekly,130,≥18,60% M/40% F,1-2,0,2,Moderate impairment,Rash,Gastrointestinal,Cardiac,Mild,2,4.06,No,Yes,Discontinuation,Dose adjustment,8,25,No,Discontinuation,No,No,No,Efficacy,No,None,Gender,High
RCT13320,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 1,164,13,Every 3 weeks,82,21-85,40% M/60% F,1-2,0,3,Mild impairment,Nausea,Gastrointestinal,Gastrointestinal,Moderate,3,7.81,No,No,Supportive care,Monitoring,22,3,Yes,Delay,Yes,No,No,Efficacy,,Unknown,None,Unknown
RCT71083,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 2,283,9,Every 3 weeks,166,18-75,50% M/50% F,0-1,0,0,Mild impairment,Fatigue,Gastrointestinal,Blood,Mild,3,18.43,No,No,Supportive care,Premedication,8,38,No,Delay,No,No,Yes,Safety,No,Positive,None,Unknown
RCT98561,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 2,240,8,Monthly,88,21-85,60% M/40% F,1-2,0,3,Mild impairment,Rash,Hematological,Blood,Severe,3,16.9,Yes,Yes,Treatment hold,Monitoring,10,23,Yes,Discontinuation,Yes,No,Yes,Regulatory,Yes,None,ECOG,Medium
RCT65950,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 1,132,12,Monthly,85,18-65,60% M/40% F,0-1,0,3,Normal,Rash,Hepatic,Blood,Mild,4,3.59,No,Yes,Discontinuation,Dose adjustment,23,45,Yes,None,Yes,No,No,Safety,No,Positive,Gender,Medium
RCT58311,Trastuzumab,Anti-HER2,Randomized,None,Phase 3,140,13,Bi-weekly,84,18-65,60% M/40% F,1-2,0,2,Moderate impairment,Nausea,Hematological,Skin,Moderate,5,9.67,Yes,Yes,Dose reduction,Patient education,18,34,Yes,Delay,No,No,Yes,Safety,,Unknown,None,Unknown
RCT67498,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 3,160,13,Bi-weekly,94,21-85,50% M/50% F,1-2,4,3,Moderate impairment,Infusion reaction,Cardiac,Blood,Moderate,5,19.92,Yes,No,Dose reduction,Monitoring,13,51,No,Reduction,Yes,No,No,Efficacy,,None,None,Low
RCT81311,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 2,169,5,Weekly,96,21-85,50% M/50% F,0-2,5,0,Mild impairment,Infusion reaction,Cardiac,Cardiac,Moderate,3,10.74,No,No,Discontinuation,Dose adjustment,28,43,Yes,Delay,No,Yes,Yes,Regulatory,No,Negative,Prior treatments,High
RCT65586,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 1,273,4,Weekly,166,18-75,50% M/50% F,1-2,5,2,Moderate impairment,Neutropenia,Cardiac,Hepatic,Severe,5,9.01,Yes,No,Discontinuation,Patient education,6,54,No,Discontinuation,Yes,No,No,Regulatory,Yes,Positive,ECOG,High
RCT20413,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 3,99,1,Bi-weekly,131,18-75,50% M/50% F,1-2,0,1,Mild impairment,Rash,Cardiac,Gastrointestinal,Mild,3,28.29,No,No,Discontinuation,Patient education,4,56,Yes,None,Yes,No,No,,No,Positive,Prior treatments,High
RCT34282,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 1,56,12,Weekly,30,18-75,60% M/40% F,0-2,3,1,Moderate impairment,Rash,Gastrointestinal,Hepatic,Mild,4,23.93,No,Yes,Supportive care,Dose adjustment,8,7,Yes,None,No,No,No,Efficacy,No,None,ECOG,Low
RCT39232,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,234,7,Weekly,156,18-65,60% M/40% F,0-2,3,0,Moderate impairment,Infusion reaction,Gastrointestinal,Hepatic,Severe,3,2.8,Yes,No,Treatment hold,Patient education,10,34,No,Delay,Yes,Yes,No,Safety,No,Unknown,Gender,Medium
RCT98089,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 2,73,1,Weekly,88,≥18,60% M/40% F,0-2,1,1,Normal,Infusion reaction,Dermatological,Skin,Severe,4,17.02,Yes,No,Supportive care,Dose adjustment,18,51,No,Reduction,No,No,Yes,,Yes,Positive,Prior treatments,Unknown
RCT88507,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 2,159,8,Monthly,50,21-85,60% M/40% F,1-2,2,0,Mild impairment,Neutropenia,Hepatic,Hepatic,Severe,3,4.17,No,No,Discontinuation,Patient education,1,47,Yes,Discontinuation,No,Yes,Yes,Competition,Yes,Unknown,Age,Unknown
RCT62873,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,56,8,Every 3 weeks,135,≥18,60% M/40% F,1-2,2,3,Moderate impairment,Nausea,Cardiac,Gastrointestinal,Mild,3,23.24,No,No,Discontinuation,Premedication,1,24,No,Discontinuation,No,No,No,Regulatory,Yes,Negative,ECOG,High
RCT17646,Trastuzumab,Anti-HER2,Single-arm,None,Phase 3,28,8,Monthly,62,≥18,50% M/50% F,1-2,1,2,Moderate impairment,Infusion reaction,Dermatological,Hepatic,Mild,5,2.95,No,No,Treatment hold,Monitoring,28,24,Yes,None,No,No,Yes,Safety,Yes,Positive,Gender,Unknown
RCT12337,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 3,76,13,Bi-weekly,152,18-75,40% M/60% F,0-2,4,3,Moderate impairment,Rash,Cardiac,Skin,Severe,2,20.45,Yes,Yes,Treatment hold,Monitoring,12,41,Yes,Delay,Yes,Yes,No,Efficacy,No,Positive,ECOG,Low
RCT80578,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,168,6,Weekly,129,≥18,60% M/40% F,0-1,4,3,Mild impairment,Rash,Cardiac,Skin,Moderate,3,22.38,Yes,No,Dose reduction,Premedication,28,5,Yes,Reduction,No,No,Yes,Safety,Yes,None,Gender,Unknown
RCT78661,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 2,133,15,Monthly,96,≥18,60% M/40% F,0-2,3,3,Normal,Nausea,Hematological,Hepatic,Mild,1,15.41,Yes,No,Dose reduction,Patient education,1,12,Yes,Delay,No,No,No,Competition,,Negative,Gender,Low
RCT13646,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,289,14,Every 3 weeks,76,≥18,40% M/60% F,0-1,4,0,Moderate impairment,Neutropenia,Hematological,Blood,Moderate,5,20.4,Yes,Yes,Treatment hold,Dose adjustment,3,24,Yes,None,Yes,Yes,No,Efficacy,,Positive,Gender,Unknown
RCT99818,Trastuzumab,Anti-HER2,Crossover,None,Phase 1,266,11,Weekly,80,18-65,40% M/60% F,0-1,1,0,Mild impairment,Infusion reaction,Dermatological,Hepatic,Moderate,1,20.25,Yes,No,Dose reduction,Monitoring,17,55,Yes,Discontinuation,No,Yes,No,Efficacy,Yes,None,Gender,Unknown
RCT23996,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 3,282,5,Monthly,167,21-85,60% M/40% F,1-2,0,1,Mild impairment,Neutropenia,Hematological,Cardiac,Mild,4,1.31,No,Yes,Discontinuation,Patient education,15,44,No,Reduction,Yes,No,No,Competition,No,None,Age,Medium
RCT82120,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 3,270,4,Bi-weekly,104,≥18,40% M/60% F,0-1,1,2,Mild impairment,Fatigue,Gastrointestinal,Hepatic,Mild,5,20.69,Yes,No,Supportive care,Patient education,3,59,Yes,Reduction,No,No,Yes,,,Negative,ECOG,Unknown
RCT71986,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 3,206,8,Bi-weekly,89,≥18,60% M/40% F,0-1,2,0,Normal,Fatigue,Hematological,Skin,Moderate,4,7.74,No,Yes,Supportive care,Dose adjustment,24,26,No,Reduction,Yes,No,No,Efficacy,,Positive,Gender,High
RCT60526,Rituximab,Anti-CD20,Randomized,None,Phase 1,52,10,Weekly,180,≥18,50% M/50% F,1-2,5,3,Mild impairment,Fatigue,Cardiac,Hepatic,Severe,1,18.26,Yes,Yes,Supportive care,Patient education,12,40,Yes,Delay,No,Yes,Yes,Efficacy,,Unknown,Prior treatments,Low
RCT55091,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,117,4,Weekly,82,18-75,50% M/50% F,1-2,3,2,Mild impairment,Fatigue,Dermatological,Blood,Mild,1,23.92,No,No,Treatment hold,Monitoring,4,20,No,Discontinuation,Yes,No,No,Regulatory,,None,Gender,Medium
RCT79893,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 1,297,4,Monthly,164,18-65,60% M/40% F,0-2,0,0,Moderate impairment,Rash,Hematological,Blood,Severe,1,5.74,Yes,No,Treatment hold,Premedication,26,38,Yes,Delay,Yes,Yes,No,Safety,No,Unknown,None,High
RCT25413,Bevacizumab,Anti-VEGF,Crossover,None,Phase 2,146,10,Every 3 weeks,143,21-85,40% M/60% F,1-2,1,3,Mild impairment,Infusion reaction,Cardiac,Skin,Severe,3,6.44,Yes,Yes,Treatment hold,Dose adjustment,15,12,No,Reduction,Yes,Yes,No,Regulatory,,None,Age,Unknown
RCT10561,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 2,87,5,Monthly,134,18-75,60% M/40% F,0-1,1,0,Mild impairment,Nausea,Cardiac,Blood,Moderate,2,6.18,No,Yes,Discontinuation,Patient education,21,13,Yes,Delay,Yes,No,Yes,Efficacy,No,Positive,Age,Low
RCT51412,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 3,281,2,Weekly,79,18-65,50% M/50% F,0-2,5,3,Mild impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Mild,1,13.16,No,Yes,Discontinuation,Patient education,25,58,No,Reduction,Yes,Yes,Yes,Competition,,Negative,Age,Unknown
RCT68559,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 1,216,3,Bi-weekly,142,21-85,40% M/60% F,0-2,1,2,Moderate impairment,Rash,Dermatological,Blood,Moderate,4,4.87,Yes,Yes,Discontinuation,Premedication,4,57,Yes,Discontinuation,Yes,No,No,Regulatory,Yes,Negative,ECOG,Unknown
RCT31546,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 1,246,13,Monthly,136,21-85,40% M/60% F,0-2,5,1,Mild impairment,Nausea,Dermatological,Gastrointestinal,Moderate,2,29.83,No,No,Treatment hold,Monitoring,7,23,No,Delay,No,No,No,Competition,Yes,Negative,Prior treatments,Low
RCT60069,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 1,217,4,Monthly,106,18-75,40% M/60% F,1-2,0,1,Moderate impairment,Nausea,Hepatic,Gastrointestinal,Moderate,4,1.42,No,No,Treatment hold,Premedication,3,20,Yes,Discontinuation,Yes,Yes,Yes,Safety,Yes,Positive,None,Unknown
RCT76493,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 3,155,15,Bi-weekly,79,18-75,50% M/50% F,0-1,4,2,Mild impairment,Neutropenia,Gastrointestinal,Blood,Mild,3,2.74,Yes,Yes,Discontinuation,Dose adjustment,15,19,No,Discontinuation,No,Yes,No,,No,Positive,Prior treatments,Low
RCT92860,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 1,83,8,Every 3 weeks,119,≥18,40% M/60% F,1-2,4,3,Moderate impairment,Rash,Hepatic,Blood,Moderate,4,4.59,No,Yes,Dose reduction,Premedication,16,57,No,None,Yes,Yes,No,Competition,Yes,Positive,Gender,High
RCT72536,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 3,116,5,Every 3 weeks,38,18-75,40% M/60% F,0-1,0,1,Normal,Nausea,Hepatic,Blood,Mild,2,14.51,No,No,Supportive care,Monitoring,14,41,No,Delay,No,No,No,Safety,,None,ECOG,Medium
RCT12631,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 1,88,7,Every 3 weeks,162,18-75,60% M/40% F,1-2,4,1,Moderate impairment,Rash,Cardiac,Skin,Mild,4,14.95,Yes,Yes,Discontinuation,Premedication,24,49,Yes,Delay,No,No,No,Efficacy,No,Unknown,Prior treatments,Low
