nct_id,brief_title,official_title,study_type,phase,enrollment,start_date,completion_date,overall_status,lead_sponsor,study_design,primary_purpose,antibody_name,antibody_category,indication
NCT53460629,Study of Trastuzumab in Breast Cancer,A Phase 4 Study of Trastuzumab for the Treatment of Breast Cancer,Observational,Phase 4,982,2021-05-30,2021-07-13,Suspended,Industry,Single Group Assignment,Prevention,Trastuzumab,Anti-HER2,Breast Cancer
NCT94079951,Study of Trastuzumab in Gastric Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Gastric Cancer,Interventional,Phase 1,421,2024-12-30,2026-02-13,Completed,NIH,Crossover Assignment,Prevention,Trastuzumab,Anti-HER2,Gastric Cancer
NCT39777525,Study of Trastuzumab in Gastric Cancer,A Phase 2 Study of Trastuzumab for the Treatment of Gastric Cancer,Observational,Phase 2,42,2020-09-15,2021-08-12,Terminated,Other,Single Group Assignment,Diagnostic,Trastuzumab,Anti-HER2,Gastric Cancer
NCT33301017,Study of Trastuzumab in Gastric Cancer,A Phase 2 Study of Trastuzumab for the Treatment of Gastric Cancer,Interventional,Phase 2,840,2021-06-16,2021-12-06,Completed,NIH,Single Group Assignment,Treatment,Trastuzumab,Anti-HER2,Gastric Cancer
NCT76979198,Study of Trastuzumab in Gastric Cancer,A Phase 2 Study of Trastuzumab for the Treatment of Gastric Cancer,Interventional,Phase 2,747,2025-01-06,2025-07-18,Suspended,Other,Crossover Assignment,Supportive Care,Trastuzumab,Anti-HER2,Gastric Cancer
NCT45563241,Study of Trastuzumab in Gastric Cancer,A Phase 3 Study of Trastuzumab for the Treatment of Gastric Cancer,Interventional,Phase 3,491,2020-11-09,2022-10-29,Suspended,NIH,Single Group Assignment,Treatment,Trastuzumab,Anti-HER2,Gastric Cancer
NCT94231093,Study of Trastuzumab in Gastric Cancer,A Phase 3 Study of Trastuzumab for the Treatment of Gastric Cancer,Interventional,Phase 3,42,2021-01-30,2022-07-13,Recruiting,Industry,Parallel Assignment,Prevention,Trastuzumab,Anti-HER2,Gastric Cancer
NCT68557517,Study of Trastuzumab in Gastric Cancer,A Phase 3 Study of Trastuzumab for the Treatment of Gastric Cancer,Observational,Phase 3,264,2022-03-14,2023-09-02,Terminated,Other,Crossover Assignment,Supportive Care,Trastuzumab,Anti-HER2,Gastric Cancer
NCT69340701,Study of Trastuzumab in Gastric Cancer,A Phase 4 Study of Trastuzumab for the Treatment of Gastric Cancer,Observational,Phase 4,760,2021-12-31,2022-02-26,Completed,NIH,Parallel Assignment,Diagnostic,Trastuzumab,Anti-HER2,Gastric Cancer
NCT36116932,Study of Trastuzumab in Esophageal Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 1,522,2024-01-22,2024-10-09,Terminated,NIH,Crossover Assignment,Prevention,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT78005094,Study of Trastuzumab in Esophageal Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 1,806,2022-11-18,2024-10-13,Suspended,NIH,Crossover Assignment,Prevention,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT79923711,Study of Trastuzumab in Esophageal Cancer,A Phase 1 Study of Trastuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 1,323,2023-12-16,2024-11-21,Completed,NIH,Single Group Assignment,Treatment,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT29469432,Study of Trastuzumab in Esophageal Cancer,A Phase 2 Study of Trastuzumab for the Treatment of Esophageal Cancer,Observational,Phase 2,676,2023-08-04,2023-11-11,Suspended,Industry,Single Group Assignment,Treatment,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT46616575,Study of Trastuzumab in Esophageal Cancer,A Phase 2 Study of Trastuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 2,499,2020-10-24,2022-08-24,Recruiting,Industry,Crossover Assignment,Prevention,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT84496688,Study of Trastuzumab in Esophageal Cancer,A Phase 3 Study of Trastuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 3,281,2022-07-29,2023-07-11,Terminated,Industry,Single Group Assignment,Diagnostic,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT12976838,Study of Trastuzumab in Esophageal Cancer,A Phase 4 Study of Trastuzumab for the Treatment of Esophageal Cancer,Observational,Phase 4,752,2022-05-14,2022-12-20,Terminated,NIH,Single Group Assignment,Diagnostic,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT71697507,Study of Trastuzumab in Esophageal Cancer,A Phase 4 Study of Trastuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 4,160,2023-03-30,2024-05-18,Terminated,NIH,Single Group Assignment,Diagnostic,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT31880841,Study of Trastuzumab in Esophageal Cancer,A Phase 4 Study of Trastuzumab for the Treatment of Esophageal Cancer,Observational,Phase 4,270,2024-12-11,2025-10-03,Suspended,Industry,Single Group Assignment,Prevention,Trastuzumab,Anti-HER2,Esophageal Cancer
NCT43793287,Study of Pertuzumab in Breast Cancer,A Phase 1 Study of Pertuzumab for the Treatment of Breast Cancer,Observational,Phase 1,579,2020-12-30,2022-08-08,Terminated,NIH,Parallel Assignment,Supportive Care,Pertuzumab,Anti-HER2,Breast Cancer
NCT24407969,Study of Pertuzumab in Breast Cancer,A Phase 2 Study of Pertuzumab for the Treatment of Breast Cancer,Observational,Phase 2,105,2024-09-06,2026-08-09,Terminated,Other,Single Group Assignment,Diagnostic,Pertuzumab,Anti-HER2,Breast Cancer
NCT77108827,Study of Pertuzumab in Breast Cancer,A Phase 3 Study of Pertuzumab for the Treatment of Breast Cancer,Observational,Phase 3,610,2021-09-08,2022-08-26,Suspended,NIH,Crossover Assignment,Prevention,Pertuzumab,Anti-HER2,Breast Cancer
NCT58387230,Study of Pertuzumab in Breast Cancer,A Phase 3 Study of Pertuzumab for the Treatment of Breast Cancer,Observational,Phase 3,976,2022-02-19,2023-09-27,Terminated,Other,Single Group Assignment,Supportive Care,Pertuzumab,Anti-HER2,Breast Cancer
NCT30700714,Study of Pertuzumab in Breast Cancer,A Phase 3 Study of Pertuzumab for the Treatment of Breast Cancer,Interventional,Phase 3,944,2024-12-01,2026-08-06,Recruiting,Industry,Single Group Assignment,Treatment,Pertuzumab,Anti-HER2,Breast Cancer
NCT80130999,Study of Pertuzumab in Breast Cancer,A Phase 4 Study of Pertuzumab for the Treatment of Breast Cancer,Observational,Phase 4,86,2023-09-08,2024-09-08,Terminated,NIH,Single Group Assignment,Supportive Care,Pertuzumab,Anti-HER2,Breast Cancer
NCT23534320,Study of Pertuzumab in Gastric Cancer,A Phase 1 Study of Pertuzumab for the Treatment of Gastric Cancer,Observational,Phase 1,722,2022-12-07,2023-07-18,Suspended,Industry,Single Group Assignment,Treatment,Pertuzumab,Anti-HER2,Gastric Cancer
NCT90006506,Study of Pertuzumab in Gastric Cancer,A Phase 2 Study of Pertuzumab for the Treatment of Gastric Cancer,Observational,Phase 2,937,2024-12-23,2025-04-12,Suspended,NIH,Crossover Assignment,Prevention,Pertuzumab,Anti-HER2,Gastric Cancer
NCT97858564,Study of Pertuzumab in Gastric Cancer,A Phase 2 Study of Pertuzumab for the Treatment of Gastric Cancer,Interventional,Phase 2,369,2023-08-09,2024-09-23,Completed,Industry,Parallel Assignment,Supportive Care,Pertuzumab,Anti-HER2,Gastric Cancer
NCT16058594,Study of Pertuzumab in Gastric Cancer,A Phase 2 Study of Pertuzumab for the Treatment of Gastric Cancer,Observational,Phase 2,294,2020-03-23,2021-01-01,Completed,Other,Parallel Assignment,Treatment,Pertuzumab,Anti-HER2,Gastric Cancer
NCT55337370,Study of Pertuzumab in Gastric Cancer,A Phase 3 Study of Pertuzumab for the Treatment of Gastric Cancer,Interventional,Phase 3,867,2020-08-20,2020-11-22,Terminated,NIH,Single Group Assignment,Diagnostic,Pertuzumab,Anti-HER2,Gastric Cancer
NCT97183937,Study of Pertuzumab in Gastric Cancer,A Phase 3 Study of Pertuzumab for the Treatment of Gastric Cancer,Observational,Phase 3,714,2020-07-30,2021-06-04,Terminated,Other,Single Group Assignment,Treatment,Pertuzumab,Anti-HER2,Gastric Cancer
NCT24473171,Study of Pertuzumab in Gastric Cancer,A Phase 4 Study of Pertuzumab for the Treatment of Gastric Cancer,Observational,Phase 4,268,2020-08-04,2021-11-24,Recruiting,Industry,Parallel Assignment,Diagnostic,Pertuzumab,Anti-HER2,Gastric Cancer
NCT37128190,Study of Pertuzumab in Esophageal Cancer,A Phase 1 Study of Pertuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 1,104,2020-07-27,2020-11-10,Suspended,Other,Single Group Assignment,Prevention,Pertuzumab,Anti-HER2,Esophageal Cancer
NCT29347995,Study of Pertuzumab in Esophageal Cancer,A Phase 1 Study of Pertuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 1,261,2022-12-09,2023-12-04,Terminated,NIH,Crossover Assignment,Treatment,Pertuzumab,Anti-HER2,Esophageal Cancer
NCT28830407,Study of Pertuzumab in Esophageal Cancer,A Phase 1 Study of Pertuzumab for the Treatment of Esophageal Cancer,Observational,Phase 1,923,2024-01-25,2024-12-11,Completed,NIH,Parallel Assignment,Prevention,Pertuzumab,Anti-HER2,Esophageal Cancer
NCT60563372,Study of Pertuzumab in Esophageal Cancer,A Phase 2 Study of Pertuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 2,931,2021-10-17,2023-01-10,Terminated,Other,Single Group Assignment,Diagnostic,Pertuzumab,Anti-HER2,Esophageal Cancer
NCT43322529,Study of Pertuzumab in Esophageal Cancer,A Phase 3 Study of Pertuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 3,53,2023-11-19,2024-01-25,Completed,Other,Crossover Assignment,Supportive Care,Pertuzumab,Anti-HER2,Esophageal Cancer
NCT79211980,Study of Pertuzumab in Esophageal Cancer,A Phase 4 Study of Pertuzumab for the Treatment of Esophageal Cancer,Interventional,Phase 4,81,2021-08-04,2023-06-10,Recruiting,Other,Parallel Assignment,Prevention,Pertuzumab,Anti-HER2,Esophageal Cancer
NCT58590759,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Interventional,Phase 1,85,2025-03-25,2026-04-02,Terminated,NIH,Parallel Assignment,Diagnostic,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT85983103,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Observational,Phase 1,707,2020-09-28,2022-05-02,Recruiting,Other,Single Group Assignment,Supportive Care,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT11430383,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Observational,Phase 2,921,2022-08-14,2024-05-08,Recruiting,NIH,Parallel Assignment,Diagnostic,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT18866819,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Observational,Phase 2,488,2022-07-26,2023-11-22,Completed,Other,Single Group Assignment,Supportive Care,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT52824323,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Observational,Phase 3,134,2025-03-07,2025-12-31,Completed,Other,Single Group Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT43413000,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Interventional,Phase 3,133,2024-03-27,2026-02-24,Suspended,NIH,Parallel Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT12062929,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Observational,Phase 4,956,2024-02-26,2026-02-19,Terminated,Other,Parallel Assignment,Supportive Care,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT88116734,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Interventional,Phase 4,120,2024-02-01,2024-10-13,Suspended,NIH,Crossover Assignment,Diagnostic,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT73872146,Study of Ado-trastuzumab emtansine in Breast Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Breast Cancer,Observational,Phase 4,757,2023-07-01,2023-11-13,Suspended,Other,Crossover Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Breast Cancer
NCT44433687,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Observational,Phase 1,358,2023-09-19,2024-01-15,Completed,Industry,Single Group Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT66133386,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Interventional,Phase 1,371,2020-11-26,2022-03-15,Suspended,Other,Crossover Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT25951363,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Interventional,Phase 2,229,2023-09-04,2024-12-22,Terminated,Industry,Single Group Assignment,Diagnostic,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT52669879,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Observational,Phase 2,189,2024-08-28,2025-05-27,Recruiting,Other,Parallel Assignment,Diagnostic,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT87151190,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Observational,Phase 2,569,2021-11-04,2023-08-26,Completed,NIH,Parallel Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT96037081,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Interventional,Phase 3,880,2024-10-31,2025-09-18,Suspended,NIH,Single Group Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT66539686,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Observational,Phase 3,47,2023-05-30,2023-09-01,Recruiting,NIH,Parallel Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT16257188,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Observational,Phase 3,594,2023-01-13,2023-10-29,Recruiting,Other,Single Group Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT11260808,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Interventional,Phase 4,905,2022-11-30,2024-08-27,Suspended,Industry,Parallel Assignment,Diagnostic,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT58072648,Study of Ado-trastuzumab emtansine in Gastric Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Gastric Cancer,Observational,Phase 4,279,2023-10-05,2023-12-06,Terminated,Other,Crossover Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Gastric Cancer
NCT66352181,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Observational,Phase 1,251,2024-02-09,2024-04-26,Suspended,Industry,Single Group Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT66991801,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Observational,Phase 1,84,2022-03-31,2023-01-22,Terminated,Industry,Parallel Assignment,Supportive Care,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT38764835,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 1 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 1,714,2021-01-30,2022-03-07,Terminated,Industry,Crossover Assignment,Supportive Care,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT33237170,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 2,997,2022-05-19,2023-04-15,Suspended,NIH,Parallel Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT49181561,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 2 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 2,339,2020-12-19,2022-03-28,Terminated,NIH,Single Group Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT77286202,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 3,291,2022-10-09,2024-02-22,Recruiting,Other,Crossover Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT21048793,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 3,689,2024-04-27,2025-05-31,Completed,Other,Crossover Assignment,Supportive Care,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT36169219,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 3 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Observational,Phase 3,82,2021-11-21,2022-03-29,Recruiting,NIH,Single Group Assignment,Treatment,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT17708466,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 4,149,2024-10-07,2026-04-22,Recruiting,Other,Single Group Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT37664544,Study of Ado-trastuzumab emtansine in Esophageal Cancer,A Phase 4 Study of Ado-trastuzumab emtansine for the Treatment of Esophageal Cancer,Interventional,Phase 4,267,2024-10-02,2024-11-05,Recruiting,NIH,Parallel Assignment,Prevention,Ado-trastuzumab emtansine,Anti-HER2,Esophageal Cancer
NCT29066790,Study of Bevacizumab in Colorectal Cancer,A Phase 1 Study of Bevacizumab for the Treatment of Colorectal Cancer,Observational,Phase 1,639,2023-06-27,2025-02-03,Suspended,Other,Parallel Assignment,Prevention,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT83403465,Study of Bevacizumab in Colorectal Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Colorectal Cancer,Interventional,Phase 2,84,2020-07-15,2021-05-17,Suspended,NIH,Single Group Assignment,Treatment,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT64315172,Study of Bevacizumab in Colorectal Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Colorectal Cancer,Observational,Phase 2,142,2024-03-30,2025-05-10,Suspended,NIH,Parallel Assignment,Diagnostic,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT99506370,Study of Bevacizumab in Colorectal Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Colorectal Cancer,Observational,Phase 2,274,2022-10-10,2024-07-30,Suspended,NIH,Parallel Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT82032992,Study of Bevacizumab in Colorectal Cancer,A Phase 3 Study of Bevacizumab for the Treatment of Colorectal Cancer,Interventional,Phase 3,945,2021-03-27,2023-01-15,Completed,Industry,Crossover Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT62713148,Study of Bevacizumab in Colorectal Cancer,A Phase 3 Study of Bevacizumab for the Treatment of Colorectal Cancer,Interventional,Phase 3,744,2021-09-22,2022-10-17,Terminated,Other,Crossover Assignment,Treatment,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT46207933,Study of Bevacizumab in Colorectal Cancer,A Phase 4 Study of Bevacizumab for the Treatment of Colorectal Cancer,Interventional,Phase 4,542,2023-02-28,2024-03-20,Suspended,Other,Crossover Assignment,Treatment,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT78174268,Study of Bevacizumab in Colorectal Cancer,A Phase 4 Study of Bevacizumab for the Treatment of Colorectal Cancer,Observational,Phase 4,187,2025-04-30,2026-06-23,Terminated,Industry,Crossover Assignment,Prevention,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT77476911,Study of Bevacizumab in Colorectal Cancer,A Phase 4 Study of Bevacizumab for the Treatment of Colorectal Cancer,Observational,Phase 4,36,2022-03-14,2022-08-10,Terminated,NIH,Parallel Assignment,Diagnostic,Bevacizumab,Anti-VEGF,Colorectal Cancer
NCT71882375,Study of Bevacizumab in Lung Cancer,A Phase 1 Study of Bevacizumab for the Treatment of Lung Cancer,Observational,Phase 1,883,2022-02-28,2023-03-04,Suspended,Industry,Crossover Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Lung Cancer
NCT67291452,Study of Bevacizumab in Lung Cancer,A Phase 1 Study of Bevacizumab for the Treatment of Lung Cancer,Observational,Phase 1,155,2024-12-04,2025-08-01,Recruiting,Other,Crossover Assignment,Prevention,Bevacizumab,Anti-VEGF,Lung Cancer
NCT10154072,Study of Bevacizumab in Lung Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Lung Cancer,Interventional,Phase 2,452,2022-07-26,2024-05-12,Recruiting,NIH,Parallel Assignment,Treatment,Bevacizumab,Anti-VEGF,Lung Cancer
NCT12243516,Study of Bevacizumab in Lung Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Lung Cancer,Observational,Phase 2,821,2023-01-24,2023-02-27,Completed,NIH,Single Group Assignment,Diagnostic,Bevacizumab,Anti-VEGF,Lung Cancer
NCT52650141,Study of Bevacizumab in Lung Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Lung Cancer,Interventional,Phase 2,827,2020-03-26,2020-11-27,Recruiting,Other,Parallel Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Lung Cancer
NCT11919204,Study of Bevacizumab in Lung Cancer,A Phase 3 Study of Bevacizumab for the Treatment of Lung Cancer,Observational,Phase 3,375,2022-12-30,2023-02-26,Completed,NIH,Single Group Assignment,Treatment,Bevacizumab,Anti-VEGF,Lung Cancer
NCT61859305,Study of Bevacizumab in Lung Cancer,A Phase 4 Study of Bevacizumab for the Treatment of Lung Cancer,Observational,Phase 4,298,2022-12-07,2023-07-24,Recruiting,NIH,Parallel Assignment,Treatment,Bevacizumab,Anti-VEGF,Lung Cancer
NCT62533883,Study of Bevacizumab in Lung Cancer,A Phase 4 Study of Bevacizumab for the Treatment of Lung Cancer,Observational,Phase 4,329,2021-02-24,2022-03-21,Suspended,Industry,Parallel Assignment,Diagnostic,Bevacizumab,Anti-VEGF,Lung Cancer
NCT10274697,Study of Bevacizumab in Ovarian Cancer,A Phase 1 Study of Bevacizumab for the Treatment of Ovarian Cancer,Interventional,Phase 1,463,2025-05-02,2026-08-05,Recruiting,NIH,Parallel Assignment,Prevention,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT76174895,Study of Bevacizumab in Ovarian Cancer,A Phase 1 Study of Bevacizumab for the Treatment of Ovarian Cancer,Observational,Phase 1,418,2023-01-11,2024-03-19,Suspended,Industry,Crossover Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT17855717,Study of Bevacizumab in Ovarian Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Ovarian Cancer,Observational,Phase 2,901,2021-05-29,2022-09-29,Suspended,Other,Crossover Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT44443320,Study of Bevacizumab in Ovarian Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Ovarian Cancer,Observational,Phase 2,537,2023-07-25,2025-06-30,Suspended,NIH,Crossover Assignment,Treatment,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT57372270,Study of Bevacizumab in Ovarian Cancer,A Phase 2 Study of Bevacizumab for the Treatment of Ovarian Cancer,Interventional,Phase 2,320,2025-04-18,2027-04-14,Terminated,NIH,Crossover Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT22593637,Study of Bevacizumab in Ovarian Cancer,A Phase 3 Study of Bevacizumab for the Treatment of Ovarian Cancer,Observational,Phase 3,678,2020-05-02,2020-08-11,Suspended,Other,Parallel Assignment,Supportive Care,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT40222790,Study of Bevacizumab in Ovarian Cancer,A Phase 3 Study of Bevacizumab for the Treatment of Ovarian Cancer,Observational,Phase 3,215,2022-09-22,2024-05-03,Completed,Industry,Crossover Assignment,Diagnostic,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT29125103,Study of Bevacizumab in Ovarian Cancer,A Phase 4 Study of Bevacizumab for the Treatment of Ovarian Cancer,Interventional,Phase 4,876,2024-07-06,2025-09-23,Recruiting,NIH,Parallel Assignment,Prevention,Bevacizumab,Anti-VEGF,Ovarian Cancer
NCT15911018,Study of Ranibizumab in Colorectal Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Colorectal Cancer,Interventional,Phase 1,472,2022-03-09,2024-03-05,Terminated,Other,Crossover Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT79899332,Study of Ranibizumab in Colorectal Cancer,A Phase 1 Study of Ranibizumab for the Treatment of Colorectal Cancer,Observational,Phase 1,645,2025-03-19,2025-05-27,Suspended,Industry,Parallel Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT56800937,Study of Ranibizumab in Colorectal Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Colorectal Cancer,Interventional,Phase 2,726,2020-08-15,2020-12-07,Suspended,NIH,Single Group Assignment,Prevention,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT42097829,Study of Ranibizumab in Colorectal Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Colorectal Cancer,Interventional,Phase 2,90,2023-12-21,2025-11-06,Completed,Industry,Crossover Assignment,Diagnostic,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT59772960,Study of Ranibizumab in Colorectal Cancer,A Phase 2 Study of Ranibizumab for the Treatment of Colorectal Cancer,Observational,Phase 2,441,2023-03-04,2024-04-17,Recruiting,Other,Single Group Assignment,Treatment,Ranibizumab,Anti-VEGF,Colorectal Cancer
NCT43823427,Study of Ranibizumab in Colorectal Cancer,A Phase 3 Study of Ranibizumab for the Treatment of Colorectal Cancer,Interventional,Phase 3,39,2020-06-21,2021-09-05,Suspended,NIH,Crossover Assignment,Prevention,Ranibizumab,Anti-VEGF,Colorectal Cancer
