nct_id,title,overall_status,study_type,phases,conditions,lead_sponsor,group_id,group_title,num_at_risk,total_serious_ae,total_other_ae,interventions,arm_label,arm_inferred_intervention,intervention_class,sae_rate,other_ae_rate
NCT00618657,"Carboplatin+Nab-paclitaxel, Plus Trastuzumab (HER2+) or Bevacizumab (HER2-) in the Neoadjuvant Setting",COMPLETED,INTERVENTIONAL,PHASE2,"Breast Cancer, HER2-negative Breast Cancer, HER2-positive Breast Cancer, Recurrent Breast Cancer, Stage IA Breast Cancer, Stage IB Breast Cancer, Stage II Breast Cancer, Stage IIIA Breast Cancer, Stage IIIB Breast Cancer, Stage IIIC Breast Cancer","University of California, Irvine",EG001,Arm II (HER-2 Negative),85,1,90,Carboplatin; bevacizumab; magnetic resonance imaging; paclitaxel albumin-stabilized nanoparticle formulation; therapeutic conventional surgery; trastuzumab,Arm II (HER-2 Negative),,other,0.011765,1.058824
NCT02810457,Evaluation of FKB238 and Avastin in Patients With Advanced/Recurrent Non-squamous Non-small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,"Carcinoma, Non-Small-Cell Lung",Centus Biotherapeutics Limited,EG000,FKB238 / Paclitaxel / Carboplatin,362,118,1360,Avastin (bevacizumab); Carboplatin; FKB238 (bevacizumab); Paclitaxel,FKB238 / Paclitaxel / Carboplatin,Carboplatin,other,0.325967,3.756906
NCT02810457,Evaluation of FKB238 and Avastin in Patients With Advanced/Recurrent Non-squamous Non-small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,"Carcinoma, Non-Small-Cell Lung",Centus Biotherapeutics Limited,EG001,Avastin / Paclitaxel / Carboplatin,366,127,1527,Avastin (bevacizumab); Carboplatin; FKB238 (bevacizumab); Paclitaxel,Avastin / Paclitaxel / Carboplatin,Carboplatin,other,0.346995,4.172131
NCT00183248,Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Kidney Transplantation, Kidney Disease, Kidney Failure",University of Miami,EG000,DBMCs,4,13,71,Alemtuzumab; Donor bone marrow stem cell infusion; Kidney transplant; Mycophenolate mofetil; Sirolimus; Tacrolimus,DBMCs,,other,3.250000,17.750000
NCT00183248,Using Donor Stem Cells and Alemtuzumab to Prevent Organ Rejection in Kidney Transplant Patients,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2","Kidney Transplantation, Kidney Disease, Kidney Failure",University of Miami,EG001,Control Group,5,4,51,Alemtuzumab; Donor bone marrow stem cell infusion; Kidney transplant; Mycophenolate mofetil; Sirolimus; Tacrolimus,Control Group,,other,0.800000,10.200000
NCT00663026,Study Evaluating Bapineuzumab In Alzheimer Disease Subjects,COMPLETED,INTERVENTIONAL,PHASE2,Alzheimer Disease,Pfizer,EG000,Placebo,19,1,49,bapineuzumab; placebo,Placebo,placebo,other,0.052632,2.578947
NCT00663026,Study Evaluating Bapineuzumab In Alzheimer Disease Subjects,COMPLETED,INTERVENTIONAL,PHASE2,Alzheimer Disease,Pfizer,EG001,Bapineuzumab 5 mg,29,2,40,bapineuzumab; placebo,Bapineuzumab 5 mg,bapineuzumab,mab,0.068966,1.379310
NCT00663026,Study Evaluating Bapineuzumab In Alzheimer Disease Subjects,COMPLETED,INTERVENTIONAL,PHASE2,Alzheimer Disease,Pfizer,EG002,Bapineuzumab 10 mg,31,6,39,bapineuzumab; placebo,Bapineuzumab 10 mg,bapineuzumab,mab,0.193548,1.258065
NCT04431726,"A Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Subcutaneous Emicizumab in Participants From Birth to 12 Months of Age With Hemophilia A Without Inhibitors",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,Severe Hemophilia A,Hoffmann-La Roche,EG000,Emicizumab,55,29,266,Emicizumab,Emicizumab,Emicizumab,mab,0.527273,4.836364
NCT02312557,Pembrolizumab in Treating Patients With Metastatic Castration Resistant Prostate Cancer Previously Treated With Enzalutamide,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,"Castration-Resistant Prostate Carcinoma, Hormone-Resistant Prostate Cancer, PSA Progression, Recurrent Prostate Carcinoma, Stage IV Prostate Adenocarcinoma Cancer AJCC v8",OHSU Knight Cancer Institute,EG000,Treatment (Pembrolizumab),58,41,328,Enzalutamide; Laboratory Biomarker Analysis; Pembrolizumab,Treatment (Pembrolizumab),Pembrolizumab,mab,0.706897,5.655172
NCT01914757,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting β2 Agonist,COMPLETED,INTERVENTIONAL,PHASE3,Asthma,AstraZeneca,EG000,Benralizumab 30 mg q.4 Weeks,438,58,408,Benralizumab; Placebo,Benralizumab 30 mg q.4 Weeks,Benralizumab,mab,0.132420,0.931507
NCT01914757,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting β2 Agonist,COMPLETED,INTERVENTIONAL,PHASE3,Asthma,AstraZeneca,EG001,Benralizumab 30 mg q.8 Weeks,428,52,382,Benralizumab; Placebo,Benralizumab 30 mg q.8 Weeks,Benralizumab,mab,0.121495,0.892523
NCT01914757,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting β2 Agonist,COMPLETED,INTERVENTIONAL,PHASE3,Asthma,AstraZeneca,EG002,Placebo,440,73,461,Benralizumab; Placebo,Placebo,Placebo,other,0.165909,1.047727
NCT02685826,A Study of Durvalumab in Combination With Lenalidomide With and Without Dexamethasone in Adults With Newly Diagnosed Multiple Myeloma,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Multiple Myeloma,Celgene,EG000,"Cohort A: High Risk, TNE",25,28,224,Dexamethasone; Durvalumab; Lenalidomide,"Cohort A: High Risk, TNE",,other,1.120000,8.960000
NCT02685826,A Study of Durvalumab in Combination With Lenalidomide With and Without Dexamethasone in Adults With Newly Diagnosed Multiple Myeloma,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Multiple Myeloma,Celgene,EG001,"Cohort B: >=65 Years Old, TNE",10,8,108,Dexamethasone; Durvalumab; Lenalidomide,"Cohort B: >=65 Years Old, TNE",,other,0.800000,10.800000
NCT02685826,A Study of Durvalumab in Combination With Lenalidomide With and Without Dexamethasone in Adults With Newly Diagnosed Multiple Myeloma,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Multiple Myeloma,Celgene,EG002,"Cohort C: High Risk, Post-transplant",21,8,129,Dexamethasone; Durvalumab; Lenalidomide,"Cohort C: High Risk, Post-transplant",,other,0.380952,6.142857
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG000,01 75 mg/m2 CET + 20 mg/m2 IRI,14,37,291,Cetuximab + Irinotecan,01 75 mg/m2 CET + 20 mg/m2 IRI,,other,2.642857,20.785714
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG001,02 150 mg/m2 CET + 20 mg/m2 IRI,10,30,111,Cetuximab + Irinotecan,02 150 mg/m2 CET + 20 mg/m2 IRI,,other,3.000000,11.100000
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG002,03 150 mg/m2 CET + 16 mg/m2 IRI,3,0,47,Cetuximab + Irinotecan,03 150 mg/m2 CET + 16 mg/m2 IRI,,other,0.000000,15.666667
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG003,04 250 mg/m2 CET + 16 mg/m2 IRI,12,17,190,Cetuximab + Irinotecan,04 250 mg/m2 CET + 16 mg/m2 IRI,,other,1.416667,15.833333
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG004,05 250 mg/m2 CET + 20 mg/m2 IRI,7,24,86,Cetuximab + Irinotecan,05 250 mg/m2 CET + 20 mg/m2 IRI,,other,3.428571,12.285714
NCT00842257,Panitumumab in Cetuximab Refractory KRAS Wild-Type Colorectal Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Colorectal Cancer,Massachusetts General Hospital,EG000,Panitumumab,20,0,165,panitumumab,Panitumumab,panitumumab,mab,0.000000,8.250000
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG000,"Arm I (Induction Therapy - Carboplatin, Paclitaxel & Bevacizumab)",1477,2042,3727,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate,"Arm I (Induction Therapy - Carboplatin, Paclitaxel & Bevacizumab)",Bevacizumab,mab,1.382532,2.523358
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG001,Arm A (Maintenance Therapy - Bevacizumab),284,129,524,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate,Arm A (Maintenance Therapy - Bevacizumab),Bevacizumab,mab,0.454225,1.845070
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG002,Arm B (Maintenance Therapy - Pemetrexed),289,217,644,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate,Arm B (Maintenance Therapy - Pemetrexed),,other,0.750865,2.228374
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG003,Arm C (Maintenance Therapy - Bevacizumab + Pemetrexed),286,349,848,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate,Arm C (Maintenance Therapy - Bevacizumab + Pemetrexed),Bevacizumab,mab,1.220280,2.965035
