nct_id,title,overall_status,study_type,phases,conditions,lead_sponsor,group_id,group_title,num_at_risk,total_serious_ae,total_other_ae,interventions
NCT02685826,A Study of Durvalumab in Combination With Lenalidomide With and Without Dexamethasone in Adults With Newly Diagnosed Multiple Myeloma,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Multiple Myeloma,Celgene,EG001,"Cohort B: >=65 Years Old, TNE",10,8,108,Dexamethasone; Durvalumab; Lenalidomide
NCT02685826,A Study of Durvalumab in Combination With Lenalidomide With and Without Dexamethasone in Adults With Newly Diagnosed Multiple Myeloma,COMPLETED,INTERVENTIONAL,"PHASE1, PHASE2",Multiple Myeloma,Celgene,EG002,"Cohort C: High Risk, Post-transplant",21,8,129,Dexamethasone; Durvalumab; Lenalidomide
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG000,01 75 mg/m2 CET + 20 mg/m2 IRI,14,37,291,Cetuximab + Irinotecan
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG001,02 150 mg/m2 CET + 20 mg/m2 IRI,10,30,111,Cetuximab + Irinotecan
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG002,03 150 mg/m2 CET + 16 mg/m2 IRI,3,0,47,Cetuximab + Irinotecan
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG003,04 250 mg/m2 CET + 16 mg/m2 IRI,12,17,190,Cetuximab + Irinotecan
NCT00110357,Study of Erbitux™ (Cetuximab) in Pediatric Patients With Refractory Solid Tumors,COMPLETED,INTERVENTIONAL,PHASE1,"Cancer, Refractory Solid Tumor",Eli Lilly and Company,EG004,05 250 mg/m2 CET + 20 mg/m2 IRI,7,24,86,Cetuximab + Irinotecan
NCT00842257,Panitumumab in Cetuximab Refractory KRAS Wild-Type Colorectal Cancer,COMPLETED,INTERVENTIONAL,PHASE2,Colorectal Cancer,Massachusetts General Hospital,EG000,Panitumumab,20,0,165,panitumumab
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG000,"Arm I (Induction Therapy - Carboplatin, Paclitaxel & Bevacizumab)",1477,2042,3727,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG001,Arm A (Maintenance Therapy - Bevacizumab),284,129,524,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG002,Arm B (Maintenance Therapy - Pemetrexed),289,217,644,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate
NCT01107626,Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,INTERVENTIONAL,PHASE3,Lung Cancer,ECOG-ACRIN Cancer Research Group,EG003,Arm C (Maintenance Therapy - Bevacizumab + Pemetrexed),286,349,848,Bevacizumab; Carboplatin; Paclitaxel; Pemetrexed Disodium Heptahydrate
